,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk,Diff,ODiff,DDiff
,,Clemson,,ACC,0.184,19 - 13,9 - 10,13 - 4,6 - 9,0.76 (H) Virginia Tech,-0.12 @ Miami (FL),,,0.136,52,0.128,0.03,0.098
,,Toledo,,MAC,0.181,25 - 7,13 - 6,14 - 2,11 - 5,0.66 (N) UC-Irvine,-0.28 (H) Ball State,,,0.004,127,0.133,0.07,0.063
,,Indiana,,Big Ten,0.181,17 - 15,8 - 13,13 - 5,4 - 10,0.99 @ Michigan State,-0.21 @ Northwestern,,,0.171,21,0.083,0.028,0.056
,,Butler,,Big East,0.178,16 - 16,7 - 12,12 - 4,4 - 12,0.68 (H) UC-Irvine,-0.11 (N) Providence,,,0.173,19,0.062,0.049,0.014
,,New Mexico State,,WAC,0.178,30 - 4,18 - 1,16 - 1,14 - 3,0.65 @ Utah Valley,-0.27 @ California Baptist,,,-0.064,221,0.151,0.083,0.068
,,Memphis,,AAC,0.175,21 - 13,13 - 8,17 - 3,4 - 10,0.81 (H) UCF,-0.20 (N) Oklahoma State,,,0.096,72,0.106,0.052,0.054
,,Nebraska,,Big Ten,0.172,18 - 16,8 - 15,12 - 5,6 - 11,0.73 (N) Maryland,-0.22 @ Illinois,,,0.161,32,0.095,0.047,0.048
,,Providence,,Big East,0.171,18 - 15,8 - 12,11 - 6,7 - 9,0.71 @ St. John's,-0.52 (H) Massachusetts,,,0.146,41,0.057,-0.006,0.062
,,UNC-Greensboro,,SoCon,0.17,28 - 6,17 - 4,14 - 1,14 - 5,0.65 @ East Tennessee State,-0.03 @ Furman,,,-0.027,164,0.117,0.038,0.079
,,Belmont,,OVC,0.165,26 - 5,17 - 3,13 - 1,13 - 4,0.83 @ Murray State,-0.23 @ Green Bay,,,-0.062,218,0.162,0.119,0.043
,,Davidson,,Atlantic 10,0.16,24 - 9,15 - 5,14 - 1,10 - 8,0.76 (H) VCU,-0.47 @ LaSalle,,,0.008,120,0.078,0.038,0.04
,,Old Dominion,,C-USA,0.16,26 - 8,16 - 5,14 - 2,12 - 6,0.77 (H) VCU,-0.26 (N) Northern Iowa,,,-0.023,158,0.079,0.001,0.078
,,Wichita State,,AAC,0.158,19 - 14,12 - 9,11 - 4,8 - 10,0.76 (H) UCF,-0.16 (H) Louisiana Tech,,,0.109,61,0.051,0.012,0.039
,,North Carolina State,,ACC,0.158,22 - 11,10 - 10,15 - 4,7 - 7,0.76 (H) Auburn,-0.23 @ Wake Forest,,,0.07,86,0.134,0.078,0.056
,,Penn State,,Big Ten,0.156,14 - 18,7 - 14,9 - 6,5 - 12,0.84 (H) Michigan,-0.20 (H) Rutgers,,,0.199,6,0.083,0.025,0.058
,,Georgia State,,Sun Belt,0.151,24 - 9,15 - 5,13 - 1,11 - 8,0.63 @ Alabama,-0.38 @ Troy,,,0,131,0.076,0.053,0.024
,,Arkansas,,SEC,0.15,17 - 15,8 - 11,12 - 6,5 - 9,0.96 @ LSU,-0.22 (H) Georgia Tech,,,0.146,42,0.065,0.026,0.039
,,BYU,,WCC,0.148,19 - 13,11 - 6,13 - 3,6 - 10,0.75 (H) Utah State,-0.24 @ Weber State,,,0.075,85,0.09,0.073,0.016
,,UC-Irvine,,Big West,0.146,30 - 5,18 - 1,12 - 2,18 - 3,0.79 @ St. Mary's (CA),-0.41 (H) Long Beach State,,,-0.073,236,0.129,0.048,0.081
,,Northeastern,,CAA,0.146,23 - 10,17 - 4,11 - 2,12 - 8,0.63 (H) Hofstra,-0.54 @ Towson,,,0.008,121,0.103,0.072,0.031
,,Colorado,,Pac-12,0.146,21 - 12,12 - 9,13 - 2,8 - 10,0.66 (H) Oregon,-0.37 @ Washington State,,,0.065,87,0.09,0.024,0.066
,,West Virginia,,Big 12,0.145,14 - 20,6 - 15,10 - 6,4 - 14,0.84 (H) Kansas,-0.20 (H) Oklahoma State,,,0.213,5,0.012,0.025,-0.012
,,Yale,,Ivy,0.145,22 - 7,12 - 4,10 - 2,12 - 5,0.50 (N) Harvard,-0.60 (H) Columbia,,,-0.004,135,0.096,0.079,0.017
,,Oregon State,,Pac-12,0.145,18 - 13,10 - 9,10 - 5,8 - 8,0.73 @ Oregon,-0.21 (H) Stanford,,,0.078,83,0.063,0.061,0.002
,,Murray State,,OVC,0.144,27 - 4,18 - 2,15 - 1,12 - 3,0.70 (N) Belmont,-0.10 @ Jacksonville State,,,-0.095,266,0.167,0.101,0.066
,,Lipscomb,,ASUN,0.14,25 - 7,16 - 3,14 - 3,11 - 4,0.72 @ TCU,-0.32 @ Florida Gulf Coast,,,-0.062,219,0.156,0.08,0.076
,,Dayton,,Atlantic 10,0.138,21 - 11,13 - 6,13 - 4,8 - 7,0.67 @ Davidson,-0.21 (H) George Mason,,,0.039,93,0.117,0.075,0.042
,,Vermont,,America East,0.136,27 - 6,17 - 2,16 - 2,11 - 4,0.62 (H) Yale,-0.29 (H) UMBC,,,-0.087,259,0.14,0.078,0.063
,,Oklahoma State,,Big 12,0.134,12 - 20,5 - 14,8 - 7,4 - 13,0.87 (N) LSU,-0.53 @ Charlotte,,,0.233,2,0.009,0.021,-0.012
,,Arizona,,Pac-12,0.132,17 - 15,8 - 11,12 - 5,5 - 10,0.70 (N) Iowa State,-0.51 (H) Washington State,,,0.103,64,0.073,0.012,0.061
,,Furman,,SoCon,0.132,25 - 7,14 - 6,13 - 2,12 - 5,0.90 @ Villanova,-0.28 (H) Samford,,,-0.055,212,0.144,0.06,0.084
,,Harvard,,Ivy,0.132,18 - 11,11 - 5,9 - 2,9 - 9,0.80 @ St. Mary's (CA),-0.46 @ Dartmouth,,,0.036,97,0.044,0.013,0.031
,,South Carolina,,SEC,0.128,16 - 16,11 - 8,11 - 6,5 - 10,0.75 (H) Mississippi State,-0.65 @ Wyoming,,,0.149,40,0.039,0.006,0.032
,,San Diego,,WCC,0.128,21 - 14,10 - 10,12 - 4,9 - 10,0.60 @ San Francisco,-0.30 (H) Pepperdine,,,0.054,89,0.09,0.029,0.061
,,Liberty,,ASUN,0.127,28 - 6,17 - 2,16 - 1,12 - 5,0.70 @ Lipscomb,-0.34 @ Vanderbilt,,,-0.114,292,0.14,0.083,0.056
,,Utah,,Pac-12,0.123,17 - 14,11 - 8,10 - 5,7 - 9,0.77 @ Arizona State,-0.30 (N) Hawaii,,,0.086,77,0.022,0.084,-0.062
,,UCLA,,Pac-12,0.122,17 - 16,10 - 10,13 - 5,4 - 11,0.72 @ Oregon,-0.16 @ USC,,,0.112,59,0.056,0.038,0.018
,,Saint Louis,,Atlantic 10,0.121,23 - 12,14 - 8,15 - 2,8 - 10,0.70 @ Seton Hall,-0.46 (H) Richmond,,,0.021,105,0.066,-0.005,0.071
,,Drake,,MVC,0.121,24 - 9,13 - 7,13 - 2,11 - 7,0.68 (N) New Mexico State,-0.44 @ Evansville,,,-0.032,173,0.066,0.051,0.015
,,San Francisco,,WCC,0.12,21 - 10,9 - 8,14 - 3,7 - 7,0.67 (H) St. Mary's (CA),-0.29 (N) Pepperdine,,,0.003,128,0.132,0.094,0.038
,,Tulsa,,AAC,0.119,18 - 14,8 - 11,14 - 3,4 - 11,0.75 (H) Kansas State,-0.19 (N) SMU,,,0.082,80,0.041,0.013,0.028
,,Western Kentucky,,C-USA,0.118,20 - 14,13 - 8,10 - 4,10 - 10,0.71 (H) Wisconsin,-0.49 (H) Troy,,,0.051,90,0.062,0.026,0.037
,,DePaul,,Big East,0.117,15 - 15,7 - 12,12 - 6,3 - 9,0.71 @ Seton Hall,-0.23 (H) Boston College,,,0.099,66,0.026,0.047,-0.021
,,Missouri,,SEC,0.116,15 - 17,6 - 14,9 - 7,6 - 10,0.74 (H) UCF,-0.18 (H) Texas A&M,,,0.164,30,0.044,0.002,0.041
,,San Diego State,,Mountain West,0.116,21 - 13,13 - 8,14 - 3,7 - 10,0.82 (N) Nevada,-0.43 @ California,,,0.017,109,0.069,0.015,0.054
,,Hofstra,,CAA,0.116,27 - 7,17 - 4,15 - 1,12 - 6,0.62 @ Charleston,-0.51 (H) James Madison,,,-0.069,227,0.119,0.119,0
,,Kent State,,MAC,0.114,22 - 10,11 - 8,14 - 3,8 - 7,0.66 (H) Toledo,-0.23 @ Eastern Michigan,,,-0.007,144,0.029,0.049,-0.02
,,Texas A&M,,SEC,0.113,14 - 18,7 - 13,9 - 8,5 - 10,0.79 (H) Kansas State,-0.31 (H) Texas Southern,,,0.16,33,0.035,0.008,0.027
,,Utah Valley,,WAC,0.111,24 - 9,13 - 5,13 - 1,11 - 8,0.60 @ Fresno State,-0.25 @ Cal State-Bakersfield,,,-0.038,189,0.083,0.06,0.023
,,Fresno State,,Mountain West,0.107,23 - 9,14 - 6,13 - 4,10 - 5,0.84 @ Utah State,-0.41 (H) Air Force,,,-0.037,185,0.11,0.055,0.054
,,Bowling Green,,MAC,0.106,22 - 12,14 - 7,14 - 2,8 - 10,0.85 (H) Buffalo,-0.59 @ Cleveland State,,,0.005,124,0.068,0.036,0.032
,,East Tennessee State,,SoCon,0.105,24 - 9,14 - 6,13 - 2,11 - 7,0.63 (H) Furman,-0.24 @ Illinois,,,-0.039,194,0.132,0.064,0.067
,,Charleston,,CAA,0.103,24 - 9,13 - 7,13 - 2,11 - 7,0.87 @ VCU,-0.44 (H) Drexel,,,-0.049,205,0.079,0.047,0.031
,,Rutgers,,Big Ten,0.103,14 - 17,7 - 14,10 - 7,4 - 10,0.75 @ Iowa,-0.51 @ Fordham,,,0.153,36,0.02,-0.018,0.038
,,Penn,,Ivy,0.102,19 - 12,7 - 8,9 - 4,10 - 8,0.79 @ Temple,-0.58 (H) Columbia,,,0.017,108,0.059,0.016,0.042
,,Georgia Southern,,Sun Belt,0.1,21 - 12,13 - 7,10 - 4,11 - 8,0.51 (N) Montana,-0.24 (H) Texas-Arlington,,,-0.007,145,0.089,0.053,0.035
,,Illinois,,Big Ten,0.099,12 - 21,8 - 14,9 - 6,3 - 15,0.86 (H) Michigan State,-0.30 (H) Florida Atlantic,,,0.169,25,0.018,0.02,-0.002
,,Rhode Island,,Atlantic 10,0.091,18 - 15,11 - 10,9 - 5,9 - 10,0.76 (N) VCU,-0.62 (H) Fordham,,,0.034,100,0.031,0.003,0.028
,,Marshall,,C-USA,0.09,19 - 14,12 - 8,12 - 3,7 - 11,0.72 @ Old Dominion,-0.35 @ Rice,,,0.037,96,0.013,0.049,-0.037
,,Central Michigan,,MAC,0.087,23 - 11,12 - 9,13 - 4,10 - 7,0.51 (N) Kent State,-0.29 (N) Weber State,,,-0.039,192,0.055,0.068,-0.013
,,Miami (FL),,ACC,0.085,14 - 18,6 - 14,11 - 5,3 - 13,0.55 (H) Clemson,-0.23 @ Wake Forest,,,0.145,46,0.063,0.044,0.019
,,South Florida,,AAC,0.085,19 - 13,8 - 11,14 - 5,5 - 8,0.57 (H) Memphis,-0.48 (H) The Citadel,,,0.014,113,0.065,0.001,0.064
,,Montana,,Big Sky,0.082,26 - 8,19 - 4,12 - 2,14 - 6,0.59 (H) Georgia State,-0.44 (H) Portland State,,,-0.104,277,0.104,0.06,0.044
,,Texas State,,Sun Belt,0.078,24 - 9,13 - 7,11 - 3,13 - 6,0.72 @ Georgia State,-0.32 @ South Alabama,,,-0.068,224,0.083,0.002,0.081
,,Georgia Tech,,ACC,0.078,14 - 18,6 - 13,11 - 7,3 - 11,0.80 @ Syracuse,-0.34 (H) Georgia,,,0.127,55,0.017,-0.044,0.061
,,USC,,Pac-12,0.077,16 - 17,9 - 11,12 - 5,4 - 12,0.65 (H) Oregon,-0.44 (H) Vanderbilt,,,0.08,81,0.073,0.047,0.026
,,Connecticut,,AAC,0.076,16 - 17,7 - 13,13 - 5,3 - 12,0.65 (N) Syracuse,-0.15 @ SMU,,,0.085,78,0.061,0.045,0.016
,,Boston College,,ACC,0.076,14 - 17,5 - 14,10 - 8,4 - 9,0.82 (H) Florida State,-0.43 (H) IUPUI,,,0.099,67,0.016,0.018,-0.002
,,Loyola Marymount,,WCC,0.075,20 - 11,8 - 9,11 - 4,9 - 7,0.61 @ San Francisco,-0.63 @ UC-Riverside,,,-0.015,151,0.046,-0.005,0.051
,,SMU,,AAC,0.074,15 - 17,7 - 13,10 - 8,5 - 9,0.60 @ Georgetown,-0.21 (N) Bradley,,,0.088,76,0.065,0.085,-0.02
,,Stanford,,Pac-12,0.072,15 - 16,8 - 11,10 - 4,5 - 12,0.66 (H) Arizona State,-0.55 (H) California,,,0.104,62,0.026,-0.019,0.045
,,Bucknell,,Patriot,0.07,21 - 12,15 - 6,12 - 3,9 - 9,0.74 @ Vermont,-0.80 (H) Fairfield,,,-0.031,168,0.051,0.034,0.017
,,Louisiana Tech,,C-USA,0.07,20 - 13,10 - 10,15 - 1,5 - 12,0.62 @ Wichita State,-0.57 @ Charlotte,,,-0.021,157,0.052,0.032,0.021
,,Grand Canyon,,WAC,0.07,20 - 13,12 - 7,12 - 2,8 - 11,0.55 (H) Utah Valley,-0.40 @ UMKC,,,-0.024,161,0.089,0.051,0.039
,,Pittsburgh,,ACC,0.064,14 - 19,4 - 16,11 - 7,3 - 12,0.85 (H) Florida State,-0.65 (H) Niagara,,,0.103,63,0.047,0.004,0.043
,,Notre Dame,,ACC,0.062,14 - 19,4 - 16,11 - 8,3 - 11,0.77 (N) Purdue,-0.32 (H) Wake Forest,,,0.123,57,0.03,0.027,0.003
,,Colgate,,Patriot,0.061,24 - 10,16 - 5,15 - 1,9 - 9,0.53 @ Lehigh,-0.48 @ Loyola (MD),,,-0.07,229,0.058,0.063,-0.004
,,Southern Miss,,C-USA,0.061,20 - 12,12 - 8,11 - 3,9 - 9,0.74 @ Old Dominion,-1.03 (H) Non D-I,,,-0.031,169,0.068,0.037,0.031
,,Princeton,,Ivy,0.06,16 - 12,8 - 7,7 - 5,9 - 7,0.75 @ Arizona State,-0.32 (H) Saint Joseph's,,,0.002,129,-0.015,-0.044,0.029
,,Loyola (Chicago),,MVC,0.059,20 - 13,13 - 7,13 - 4,7 - 9,0.65 @ Drake,-0.47 @ Evansville,,,-0.023,159,0.081,0.025,0.056
,,Jacksonville State,,OVC,0.058,24 - 9,16 - 4,11 - 1,13 - 8,0.81 @ Belmont,-0.46 @ Tennessee-Martin,,,-0.1,274,0.066,0.017,0.049
,,Brown,,Ivy,0.057,19 - 11,7 - 7,12 - 3,7 - 8,0.59 @ San Diego State,-0.59 (H) Columbia,,,-0.051,208,0.046,-0.019,0.066
,,Northwestern,,Big Ten,0.057,13 - 19,4 - 17,10 - 8,3 - 11,0.56 (H) Ohio State,-0.28 (N) Illinois,,,0.136,53,0.036,-0.029,0.065
,,Radford,,Big South,0.057,22 - 11,14 - 5,11 - 3,11 - 8,0.62 @ Texas,-0.46 (H) Hampton,,,-0.061,217,0.075,0.06,0.015
,,Ohio,,MAC,0.054,14 - 17,6 - 13,11 - 5,3 - 12,0.45 (H) Bowling Green,-0.28 (H) Eastern Michigan,,,0.062,88,-0.017,-0.049,0.033
,,St. Bonaventure,,Atlantic 10,0.052,18 - 16,14 - 7,9 - 5,9 - 11,0.50 (H) Saint Louis,-0.54 @ Niagara,,,0.016,112,0.061,-0.007,0.068
,,Akron,,MAC,0.049,17 - 16,9 - 11,14 - 3,3 - 13,0.53 (H) Kent State,-0.29 @ Purdue-Fort Wayne,,,0.01,118,0.05,-0.037,0.087
,,Georgia,,SEC,0.048,11 - 21,2 - 17,8 - 9,3 - 12,0.66 @ Florida,-0.19 (H) Missouri,,,0.15,38,-0.01,-0.008,-0.002
,,Northern Kentucky,,Horizon,0.048,26 - 8,16 - 5,17 - 1,9 - 7,0.33 (N) Wright State,-0.70 (H) Cleveland State,,,-0.112,287,0.104,0.06,0.044
,,Stony Brook,,America East,0.047,24 - 8,12 - 5,10 - 4,14 - 4,0.48 @ South Carolina,-0.75 (H) Binghamton,,,-0.118,298,0.053,-0.009,0.061
,,Northern Illinois,,MAC,0.044,17 - 17,10 - 11,10 - 6,7 - 11,0.84 (H) Buffalo,-0.52 @ Western Michigan,,,0.007,122,0.029,0.037,-0.009
,,UAB,,C-USA,0.042,20 - 14,12 - 9,11 - 6,9 - 8,0.64 (H) Old Dominion,-0.68 (H) Charlotte,,,-0.036,180,0.04,0.042,-0.002
,,Duquesne,,Atlantic 10,0.04,19 - 13,10 - 9,15 - 5,4 - 8,0.49 (H) Saint Louis,-0.45 @ LaSalle,,,-0.038,190,0.011,0.017,-0.005
,,Miami (OH),,MAC,0.04,15 - 17,7 - 12,10 - 5,5 - 12,0.58 @ Bowling Green,-0.52 @ Western Michigan,,,0.028,102,0.029,0.009,0.02
,,Lehigh,,Patriot,0.039,20 - 11,13 - 7,11 - 3,9 - 8,0.35 (H) Princeton,-0.51 @ Loyola (MD),,,-0.045,201,0.025,0.058,-0.033
,,Eastern Michigan,,MAC,0.039,15 - 17,9 - 10,11 - 7,4 - 10,0.67 (H) Toledo,-0.50 (H) Detroit,,,0.036,98,-0.017,-0.013,-0.004
,,Northern Iowa,,MVC,0.038,16 - 18,11 - 10,9 - 5,7 - 13,0.60 (N) Old Dominion,-0.33 @ Valparaiso,,,0.005,123,0.007,-0.012,0.02
,,North Texas,,C-USA,0.038,21 - 12,9 - 11,12 - 4,9 - 8,0.45 (H) Marshall,-0.30 (H) Florida Atlantic,,,-0.074,237,0.046,0,0.047
,,Austin Peay,,OVC,0.036,22 - 11,14 - 6,10 - 2,12 - 9,0.55 (N) Liberty,-0.40 @ Eastern Illinois,,,-0.082,251,0.1,0.082,0.018
,,George Mason,,Atlantic 10,0.036,18 - 15,12 - 8,11 - 6,7 - 9,0.65 @ Dayton,-0.40 (H) American,,,-0.007,141,0.029,0.018,0.011
,,Southern Illinois,,MVC,0.034,17 - 15,10 - 9,9 - 6,8 - 9,0.50 (H) Saint Louis,-0.53 (N) Massachusetts,,,0.024,104,0.047,0.021,0.025
,,Ball State,,MAC,0.033,16 - 17,7 - 13,7 - 7,9 - 10,0.82 @ Toledo,-0.45 @ Evansville,,,0.024,103,0.06,0.013,0.048
,,Bradley,,MVC,0.032,20 - 14,12 - 9,10 - 6,10 - 8,0.42 @ Southern Illinois,-0.53 (H) Eastern Illinois,,,-0.036,181,0.017,-0.012,0.03
,,Texas-Arlington,,Sun Belt,0.032,17 - 16,13 - 7,9 - 5,8 - 11,0.56 @ Texas State,-0.55 (H) TAMU-Corpus Christi,,,0.016,110,0.008,-0.037,0.045
