Team,SAG_rating
220  La Salle,68.54
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
221  Florida Gulf Coast,68.43
222  UMBC,68.43
223  Fairleigh Dickinson,68.4
224  Little Rock,68.21
225  Columbia,68.15
226  Air Force,68.11
227  CS Bakersfield,68.08
228  Eastern Washington,67.96
229  Lamar,67.96
230  Cornell,67.87
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
231  Boston U.,67.82
232  Middle Tennessee,67.65
233  Prairie View A&M;,67.59
234  SE Louisiana,67.58
235  Quinnipiac,67.48
236  UC Davis,67.47
237  High Point,67.38
238  Holy Cross,67.35
239  Western Michigan,67.17
240  Troy,67.12
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
241  California Baptist,67.09
242  Dartmouth,67.02
243  Eastern Kentucky,66.88
244  Drexel,66.83
245  Delaware,66.72
246  Arkansas State,66.71
247  Morehead State,66.58
248  Siena,66.46
249  Canisius,66.43
250  Albany-NY,66.35
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
251  NC Wilmington,66.26
252  Saint Francis-Pa.,66.23
253  Long Island U.(LIU),66.19
254  Montana State,66.13
255  East Carolina,66.12
256  Army West Point,66.06
257  Norfolk State,65.99
258  New Orleans,65.99
259  North Dakota,65.99
260  CS Northridge,65.9
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
261  Kansas City(UMKC),65.88
262  Fordham,65.87
263  Chattanooga,65.85
264  Detroit Mercy,65.83
265  James Madison,65.82
266  George Washington,65.76
267  Rice,65.76
268  Sacred Heart,65.63
269  Monmouth-NJ,65.61
270  Tulane,65.54
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
271  Southern Utah,65.46
272  Robert Morris,65.38
273  Youngstown State,65.22
274  The Citadel,65.2
275  Portland State,65.18
276  Cleveland State,65.17
277  Marist,65.1
278  Navy,65.04
279  Oral Roberts,65.04
280  UMass Lowell,65.02
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
281  Towson,64.97
282  Sacramento State,64.95
283  Wyoming,64.85
284  Milwaukee,64.66
285  Charlotte,64.6
286  Longwood,64.51
287  UTEP,64.48
288  Loyola-Maryland,64.45
289  Fairfield,64.42
290  Jacksonville,64.39
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
291  Grambling State,64.39
292  Tennessee-Martin,64.37
293  Texas A&M-CorpusChristi;,64.35
294  St. Francis-NY,64.12
295  Houston Baptist,64.04
296  NC Central,63.98
297  Stephen F. Austin,63.96
298  Elon,63.94
299  Western Illinois,63.83
300  Denver,63.78
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
301  Central Arkansas,63.77
302  SE Missouri State(SEMO),63.75
303  Tennessee State,63.68
304  Eastern Illinois,63.64
305  Western Carolina,63.55
306  NC A&T;,63.17
307  Lafayette,63.08
308  Saint Peter's,62.98
309  Wagner,62.92
310  Niagara,62.87
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
311  UC Riverside,62.74
312  VMI,62.64
313  Manhattan,62.54
314  Nicholls State,62.47
315  Northern Arizona,62.24
316  Howard,61.87
317  Bethune-Cookman,61.79
318  North Alabama,61.75
319  Idaho State,61.63
320  Tennessee Tech,61.55
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
321  Portland,61.29
322  Ark.-Pine Bluff,61.25
323  Binghamton-NY,61.12
324  Central Connecticut St.,60.94
325  SIU-Edwardsville,60.94
326  McNeese State,60.56
327  Cal Poly-SLO,60.47
328  Mount St. Mary's,60.42
329  Florida A&M;,60.3
330  Jackson State,59.93
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
331  Bryant,59.93
332  Maine,59.7
333  Alabama State,59.58
334  Southern U.,59.09
335  Stetson,59.05
336  Northwestern State,58.45
337  Morgan State,58.28
338  San Jose State,58.22
339  USC Upstate,58.18
340  New Hampshire,57.69
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
341  SC State,57.58
342  Kennesaw State,57.41
343  Idaho,57.2
344  NC Asheville,56.84
345  Coppin State,56.34
346  Savannah State,56.22
347  Incarnate Word,55.61
348  Alabama A&M;,55.09
349  Alcorn State,54.56
350  MVSU(Miss. Valley St.),53.83
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
351  Md.-Eastern Shore(UMES),52.12
352  Chicago State,50.49
353  Delaware State,50.32
