,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk
,,UAB,,C-USA,0.176,25 - 9,14 - 6,15 - 2,10 - 7,0.82 (H) Florida Atlantic,-0.27 @ Florida International,,,0.017,122
,,Santa Clara,,WCC,0.171,23 - 9,11 - 5,14 - 4,9 - 5,0.76 (H) Boise State,-0.42 (H) Pacific,,,0.037,108
,,Virginia Tech,,ACC,0.166,19 - 14,8 - 12,13 - 4,6 - 10,0.82 (H) Duke,-0.24 @ Georgia Tech,,,0.108,62
,,San Jose State,,Mountain West,0.166,20 - 13,10 - 8,12 - 3,8 - 10,0.81 (H) Utah State,-0.32 @ Pacific,,,0.097,70
,,Bradley,,MVC,0.164,25 - 9,16 - 4,15 - 1,10 - 8,0.71 (H) Drake,-0.17 @ Murray State,,,0.004,134
,,Providence,,Big East,0.162,21 - 11,13 - 7,15 - 2,6 - 9,0.78 (H) Marquette,-0.16 (H) Seton Hall,,,0.079,86
,,Florida,,SEC,0.162,16 - 16,9 - 9,10 - 5,6 - 11,0.77 (H) Tennessee,-0.11 (N) Oklahoma,,,0.173,13
,,Dayton,,Atlantic 10,0.161,22 - 12,12 - 6,14 - 2,8 - 10,0.91 @ VCU,-0.44 @ Rhode Island,,,0.042,104
,,UNLV,,Mountain West,0.158,19 - 13,7 - 11,10 - 7,9 - 6,0.80 @ Nevada,-0.39 (H) Fresno State,,,0.095,74
,,Liberty,,ASUN,0.155,26 - 8,15 - 3,18 - 1,8 - 7,0.68 (N) Bradley,-0.15 @ Lipscomb,,,-0.033,180
,,Kent State,,MAC,0.153,28 - 6,15 - 3,15 - 0,13 - 6,0.63 (N) Toledo,-0.44 @ Northern Illinois,,,-0.058,220
,,Wake Forest,,ACC,0.151,19 - 14,10 - 10,13 - 3,6 - 11,0.84 (H) Duke,-0.22 (H) Boston College,,,0.109,60
,,Southern Miss,,Sun Belt,0.149,25 - 7,14 - 4,15 - 0,10 - 7,0.77 @ Vanderbilt,-0.20 (N) South Alabama,,,-0.058,224
,,Utah Valley,,WAC,0.147,25 - 8,15 - 3,13 - 1,12 - 7,0.63 @ Oregon,-0.45 (N) Morgan State,,,-0.018,156
,,Nebraska,,Big Ten,0.143,16 - 16,9 - 11,11 - 4,5 - 12,0.77 @ Creighton,-0.45 (N) Minnesota,,,0.168,14
,,Texas Tech,,Big 12,0.143,16 - 16,5 - 13,11 - 6,5 - 10,0.84 (H) Texas,-0.14 (N) Ohio State,,,0.153,24
,,Ohio State,,Big Ten,0.138,16 - 19,5 - 15,10 - 6,6 - 13,0.76 @ Northwestern,-0.49 (H) Minnesota,,,0.166,16
,,Oral Roberts,,Summit,0.137,30 - 4,18 - 0,16 - 0,14 - 4,0.66 (H) Liberty,-0.03 @ New Mexico,,,-0.096,279
,,Sam Houston State,,WAC,0.137,25 - 7,14 - 4,12 - 1,13 - 6,0.54 @ Oklahoma,-0.42 @ Texas-Arlington,,,-0.031,174
,,Loyola Marymount,,WCC,0.136,19 - 12,9 - 7,13 - 3,6 - 9,1.01 @ Gonzaga,-0.40 @ San Diego,,,0.047,103
,,Tulane,,AAC,0.136,20 - 11,12 - 6,12 - 3,8 - 8,0.90 @ Memphis,-0.62 @ Tulsa,,,0.039,106
,,Colorado,,Pac-12,0.134,17 - 16,8 - 12,12 - 4,5 - 12,0.81 (N) Texas A&M,-0.67 @ California,,,0.119,51
,,Cincinnati,,AAC,0.132,21 - 12,11 - 7,15 - 3,6 - 9,0.53 @ UCF,-0.22 @ East Carolina,,,0.054,97
,,Hofstra,,CAA,0.131,24 - 9,16 - 2,11 - 1,13 - 8,0.87 @ Charleston,-0.59 (H) North Carolina A&T,,,-0.026,164
,,Fordham,,Atlantic 10,0.13,25 - 8,12 - 6,18 - 2,7 - 6,0.60 @ Tulane,-0.43 @ Rhode Island,,,-0.033,179
,,Marshall,,Sun Belt,0.128,24 - 8,13 - 5,15 - 2,9 - 6,0.62 (H) Southern Miss,-0.58 (H) Louisiana-Monroe,,,-0.042,191
