,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk
,,Idaho,,Big Sky,-0.25,10 - 22,4 - 14,6 - 10,4 - 12,0.45 (H) Montana State,-0.71 (H) Idaho State,,,-0.136,333
,,Houston Christian,,Southland,-0.251,10 - 22,7 - 11,8 - 8,2 - 14,0.28 (H) TAMU-Corpus Christi,-0.85 (H) Western Michigan,,,-0.145,346
,,Alabama State,,SWAC,-0.266,8 - 23,6 - 12,5 - 5,3 - 18,0.08 (H) Southern U.,-0.93 (H) Florida A&M,,,-0.096,280
,,Lamar,,Southland,-0.274,9 - 22,5 - 13,6 - 9,3 - 13,0.26 (H) TAMU-Corpus Christi,-0.75 (H) Incarnate Word,,,-0.157,350
,,Florida A&M,,SWAC,-0.278,7 - 22,5 - 13,4 - 7,3 - 15,0.10 @ Texas Southern,-0.90 (H) Arkansas-Pine Bluff,,,-0.093,275
,,Green Bay,,Horizon,-0.285,3 - 29,2 - 18,2 - 10,1 - 19,0.39 @ Milwaukee,-0.84 @ IUPUI,,,-0.041,189
,,Presbyterian,,Big South,-0.287,5 - 27,1 - 17,5 - 9,0 - 18,0.12 (H) Campbell,-0.72 (N) Albany,,,-0.101,291
,,Mississippi Valley State,,SWAC,-0.297,5 - 27,4 - 14,4 - 6,1 - 21,0.22 (H) North Alabama,-0.75 @ Florida A&M,,,-0.056,216
,,IUPUI,,Horizon,-0.301,5 - 27,2 - 18,4 - 9,1 - 18,0.10 (H) Robert Morris,-0.87 (H) Eastern Illinois,,,-0.103,296
,,Hartford,,Independent,-0.34,5 - 23,0 - 0,5 - 10,0 - 13,0.09 (H) Fairleigh Dickinson,-0.81 (H) Central Connecticut,,,-0.167,352
,,Non D-I,,Non D-I,-0.372,1 - 250,0 - 0,0 - 0,1 - 250,0.34 @ Samford,-0.91 @ Presbyterian,,,0.011,127
,,Long Island,,NEC,-0.384,3 - 26,1 - 15,2 - 10,1 - 16,0.10 @ Sacred Heart,-0.85 (H) Central Connecticut,,,,
