,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk
,,Nebraska,,Big Ten,-0.01,7 - 20,3 - 16,6 - 9,1 - 11,0.52 (H) Rutgers,-0.29 @ Northwestern,,,0.133,25
,,Oral Roberts,,Summit,-0.01,16 - 10,10 - 5,8 - 3,8 - 7,0.42 (H) South Dakota State,-0.60 (H) North Dakota,,,-0.101,287
,,Western Carolina,,SoCon,-0.011,11 - 16,4 - 13,6 - 5,5 - 11,0.72 @ UNC-Greensboro,-0.42 @ Samford,,,0.025,117
,,Elon,,CAA,-0.012,10 - 9,4 - 7,4 - 2,6 - 7,0.42 @ James Madison,-0.39 @ Delaware,,,-0.042,196
,,Hawaii,,Big West,-0.013,11 - 10,9 - 9,7 - 5,4 - 5,0.49 @ UC-Riverside,-0.45 @ Cal State-Fullerton,,,-0.073,240
,,UC-Davis,,Big West,-0.015,10 - 8,8 - 5,4 - 3,6 - 5,0.29 (N) Cal State-Bakersfield,-0.40 @ Cal State-Northridge,,,-0.054,216
,,Bellarmine,,ASUN,-0.016,13 - 7,10 - 4,6 - 4,7 - 3,0.22 @ Florida Gulf Coast,-0.44 (N) Stetson,,,-0.131,321
,,Northern Kentucky,,Horizon,-0.018,14 - 11,11 - 7,9 - 4,5 - 7,0.56 (H) Wright State,-0.48 @ Green Bay,,,-0.069,235
,,Detroit,,Horizon,-0.018,12 - 11,10 - 6,7 - 6,5 - 5,0.63 @ Cleveland State,-0.39 (H) Oakland,,,-0.065,231
,,Georgia Southern,,Sun Belt,-0.02,13 - 13,7 - 9,8 - 4,5 - 9,0.40 (H) Coastal Carolina,-0.40 (N) Arkansas State,,,-0.048,204
,,Bradley,,MVC,-0.021,12 - 16,6 - 12,8 - 6,4 - 10,0.68 (H) Drake,-0.65 (H) Illinois State,,,-0.007,157
,,UC-San Diego,,Big West,-0.021,7 - 10,4 - 10,7 - 3,0 - 7,0.40 (H) UC-Riverside,-0.26 (H) UC-Davis,,,-0.041,193
,,Utah Valley,,WAC,-0.022,11 - 11,9 - 4,8 - 4,3 - 7,0.53 @ Grand Canyon,-0.57 (H) Utah Tech,,,-0.066,232
,,Kansas State,,Big 12,-0.023,9 - 20,4 - 14,6 - 12,3 - 8,0.49 (H) Oklahoma,-0.96 (H) Non D-I,,,0.12,37
,,Vermont,,America East,-0.025,10 - 5,10 - 4,6 - 3,4 - 2,0.52 @ UMBC,-0.59 (H) NJIT,,,-0.151,332
,,Morgan State,,MEAC,-0.025,14 - 8,7 - 5,5 - 5,9 - 3,0.54 @ Iona,-0.94 (H) Non D-I,,,-0.123,314
,,Coppin State,,MEAC,-0.026,9 - 13,8 - 4,5 - 3,4 - 10,0.64 (H) UNC-Greensboro,-0.60 @ Towson,,,-0.017,168
,,New Mexico State,,WAC,-0.029,12 - 8,7 - 6,1 - 0,11 - 8,0.24 (N) Utah Valley,-0.40 @ Cal State-Northridge,,,-0.097,282
,,Montana,,Big Sky,-0.029,15 - 13,7 - 9,8 - 4,7 - 9,0.47 (H) Weber State,-0.59 (H) Northern Arizona,,,-0.079,261
,,Temple,,AAC,-0.031,5 - 11,4 - 10,3 - 5,2 - 6,0.35 (H) UCF,-0.35 (H) South Florida,,,0.082,79
,,Northern Iowa,,MVC,-0.032,10 - 15,7 - 11,6 - 5,4 - 10,0.50 (H) Missouri State,-0.54 (H) Valparaiso,,,0.001,142
,,North Dakota State,,Summit,-0.035,15 - 12,11 - 5,6 - 2,9 - 10,0.40 (H) South Dakota State,-0.49 @ North Dakota,,,-0.088,273
,,Troy,,Sun Belt,-0.035,11 - 17,4 - 12,7 - 4,4 - 13,0.41 @ Appalachian State,-0.55 (N) UNC-Wilmington,,,0,144
,,Washington,,Pac-12,-0.036,5 - 21,4 - 16,4 - 7,1 - 14,0.66 (H) Colorado,-0.39 @ California,,,0.142,16
,,St. Peter's,,MAAC,-0.036,14 - 11,10 - 8,8 - 3,6 - 8,0.55 @ Siena,-0.70 (H) Rider,,,-0.073,242
,,Charleston,,CAA,-0.037,9 - 10,6 - 4,8 - 6,1 - 4,0.35 (H) Drexel,-0.40 (H) Western Carolina,,,-0.088,275
,,Boston U.,,Patriot,-0.039,7 - 11,6 - 10,2 - 6,5 - 5,0.43 @ Army,-0.53 (H) Holy Cross,,,0.017,125
,,Arkansas-Little Rock,,Sun Belt,-0.039,11 - 15,7 - 11,7 - 4,4 - 11,0.44 @ Louisiana,-0.54 @ Louisiana-Monroe,,,-0.044,197
,,Montana State,,Big Sky,-0.039,13 - 10,8 - 6,5 - 3,8 - 7,0.50 (N) Southern Utah,-0.75 @ Idaho,,,-0.083,266
,,DePaul,,Big East,-0.04,5 - 14,2 - 13,2 - 8,3 - 6,0.47 @ St. John's,-0.35 (H) Butler,,,0.092,66
,,Saint Joseph's,,Atlantic 10,-0.04,5 - 15,3 - 9,3 - 3,2 - 12,0.53 @ Richmond,-0.40 @ LaSalle,,,0.098,59
,,Campbell,,Big South,-0.041,17 - 10,11 - 6,9 - 3,8 - 7,0.28 @ Radford,-0.59 (H) UNC-Wilmington,,,-0.152,335
,,Samford,,SoCon,-0.042,7 - 13,1 - 9,5 - 5,2 - 8,0.80 @ Belmont,-0.59 (H) Alabama A&M,,,-0.003,147
,,Loyola (MD),,Patriot,-0.042,5 - 11,3 - 11,2 - 4,3 - 7,0.74 @ Navy,-0.69 (H) Lehigh,,,0.006,134
,,Marist,,MAAC,-0.045,12 - 9,10 - 8,6 - 3,6 - 6,0.46 (H) Siena,-0.57 @ Rider,,,-0.088,272
,,Jackson State,,SWAC,-0.048,12 - 6,11 - 0,6 - 0,6 - 6,0.16 @ Grambling,-0.64 @ Iowa State,,,-0.152,333
,,LaSalle,,Atlantic 10,-0.049,9 - 16,6 - 11,6 - 3,3 - 13,0.54 @ Richmond,-0.71 @ Fordham,,,0.031,115
,,San Diego,,WCC,-0.049,3 - 11,2 - 7,0 - 5,3 - 6,0.49 @ Santa Clara,-0.26 (N) San Francisco,,,0.133,24
,,South Dakota,,Summit,-0.05,14 - 11,11 - 4,7 - 2,7 - 9,0.49 @ South Dakota State,-0.55 (N) North Dakota,,,-0.123,313
,,Florida Atlantic,,C-USA,-0.051,13 - 10,7 - 5,7 - 1,6 - 9,0.24 (N) UTEP,-0.50 (H) Charlotte,,,-0.105,290
,,Oakland,,Horizon,-0.051,12 - 18,10 - 10,5 - 4,7 - 14,0.57 (H) Wright State,-0.64 @ Robert Morris,,,0.01,133
,,Wake Forest,,ACC,-0.052,6 - 16,3 - 15,5 - 6,1 - 10,0.21 (H) Pittsburgh,-0.27 (N) Notre Dame,,,0.08,81
,,Lipscomb,,ASUN,-0.053,15 - 12,9 - 6,10 - 4,5 - 8,0.49 (H) Liberty,-0.64 (H) North Florida,,,-0.13,320
,,Southern Illinois,,MVC,-0.053,12 - 14,5 - 13,8 - 5,4 - 9,0.24 @ Butler,-0.68 (H) Illinois State,,,-0.028,179
,,Texas-Arlington,,Sun Belt,-0.054,13 - 13,8 - 8,9 - 4,4 - 9,0.37 (H) Louisiana,-0.40 (N) Troy,,,-0.07,236
,,Evansville,,MVC,-0.054,9 - 16,7 - 11,8 - 4,1 - 12,0.50 (H) Missouri State,-0.62 (H) Illinois State,,,0.006,135
,,Merrimack,,NEC,-0.056,9 - 9,9 - 9,6 - 3,3 - 6,0.23 @ Long Island,-0.40 (H) St. Francis (NY),,,-0.081,263
,,Long Island,,NEC,-0.057,9 - 9,9 - 9,6 - 3,3 - 6,0.45 @ Wagner,-0.54 (H) Fairleigh Dickinson,,,-0.083,265
,,IUPUI,,Horizon,-0.061,8 - 10,7 - 9,4 - 5,4 - 5,0.33 @ Northern Kentucky,-0.49 @ Green Bay,,,-0.064,229
,,Sacred Heart,,NEC,-0.062,9 - 9,9 - 7,4 - 3,5 - 6,0.43 @ Wagner,-0.68 (H) St. Francis (PA),,,-0.06,223
,,Sacramento State,,Big Sky,-0.062,8 - 12,5 - 9,5 - 3,3 - 9,0.28 @ Montana State,-0.40 (N) Northern Colorado,,,-0.06,224
,,Bucknell,,Patriot,-0.062,5 - 7,4 - 6,2 - 3,3 - 4,0.27 @ Lafayette,-0.33 (H) Lafayette,,,-0.044,198
,,Radford,,Big South,-0.063,15 - 12,12 - 6,9 - 5,6 - 7,0.34 @ Campbell,-0.59 @ Presbyterian,,,-0.138,325
,,Tarleton State,,WAC,-0.064,10 - 10,5 - 7,6 - 3,4 - 7,0.28 (H) New Mexico State,-0.49 @ Utah Tech,,,-0.118,308
,,Milwaukee,,Horizon,-0.065,10 - 12,7 - 10,4 - 5,6 - 7,0.64 @ Wright State,-0.65 @ Robert Morris,,,-0.047,203
,,UMass Lowell,,America East,-0.065,11 - 12,7 - 8,3 - 4,8 - 8,0.51 @ UMBC,-0.60 (H) NJIT,,,-0.06,226
,,Niagara,,MAAC,-0.069,9 - 11,7 - 9,5 - 3,4 - 8,0.46 (H) Siena,-0.68 (H) Rider,,,-0.057,219
,,William & Mary,,CAA,-0.069,7 - 10,4 - 6,1 - 3,6 - 7,0.43 @ Drexel,-0.62 (H) High Point,,,-0.02,171
,,Austin Peay,,OVC,-0.072,14 - 13,10 - 10,8 - 5,6 - 8,0.61 @ Eastern Kentucky,-0.64 (H) Eastern Illinois,,,-0.119,310
,,Youngstown State,,Horizon,-0.072,15 - 12,9 - 11,10 - 5,5 - 7,0.64 @ Wright State,-0.61 (H) Green Bay,,,-0.139,328
,,Iowa State,,Big 12,-0.073,2 - 22,0 - 18,2 - 10,0 - 12,0.25 (H) Jackson State,-0.47 (H) Kansas State,,,0.19,1
,,Northern Colorado,,Big Sky,-0.075,11 - 11,6 - 8,6 - 5,5 - 6,0.48 (H) Eastern Washington,-0.62 (H) Portland State,,,-0.117,304
,,St. Francis (NY),,NEC,-0.076,9 - 10,9 - 9,4 - 6,5 - 4,0.41 (H) Bryant,-0.63 @ Central Connecticut,,,-0.075,247
,,Arkansas State,,Sun Belt,-0.077,11 - 13,7 - 7,9 - 3,2 - 10,0.38 (H) Louisiana,-0.83 (H) Arkansas-Pine Bluff,,,-0.079,259
,,Charlotte,,C-USA,-0.077,9 - 16,5 - 11,6 - 7,3 - 9,0.62 (H) Western Kentucky,-0.91 (H) Non D-I,,,-0.014,166
,,UNC-Asheville,,Big South,-0.078,10 - 10,9 - 6,6 - 4,4 - 6,0.86 @ Winthrop,-0.56 (H) UNC-Wilmington,,,-0.126,317
,,Murray State,,OVC,-0.078,13 - 13,10 - 10,9 - 4,4 - 9,0.61 @ Eastern Kentucky,-0.65 (H) Eastern Illinois,,,-0.105,292
,,California Baptist,,WAC,-0.081,13 - 10,6 - 6,11 - 4,2 - 6,0.53 @ Grand Canyon,-0.66 (H) Southeastern Louisiana,,,-0.158,341
,,Idaho State,,Big Sky,-0.081,13 - 11,8 - 7,8 - 3,5 - 8,0.58 @ Eastern Washington,-0.55 @ Portland State,,,-0.148,331
,,Valparaiso,,MVC,-0.083,10 - 18,8 - 11,6 - 6,4 - 12,0.72 (H) Drake,-0.62 @ Central Michigan,,,-0.011,163
,,Delaware,,CAA,-0.086,7 - 8,5 - 4,6 - 3,1 - 5,0.32 (H) Hofstra,-0.45 @ UNC-Wilmington,,,-0.094,279
,,Boston College,,ACC,-0.087,4 - 16,2 - 11,3 - 5,1 - 11,0.22 (H) Notre Dame,-0.60 (H) Wake Forest,,,0.095,62
,,North Alabama,,ASUN,-0.087,13 - 11,7 - 8,8 - 4,5 - 7,0.20 (H) Lipscomb,-0.53 @ North Florida,,,-0.156,338
,,New Hampshire,,America East,-0.089,10 - 9,9 - 6,5 - 6,5 - 3,0.33 (H) Hartford,-0.64 @ Binghamton,,,-0.124,315
,,Albany,,America East,-0.09,7 - 9,7 - 6,4 - 5,3 - 4,0.40 @ Vermont,-0.53 (H) Stony Brook,,,-0.105,289
,,Seattle,,WAC,-0.091,12 - 11,4 - 5,6 - 3,6 - 8,0.45 (H) Grand Canyon,-0.58 @ Washington,,,-0.118,309
,,North Carolina A&T,,MEAC,-0.092,11 - 10,7 - 1,5 - 3,6 - 7,0.09 @ Florida A&M,-0.50 @ Florida A&M,,,-0.121,312
,,Stony Brook,,America East,-0.093,9 - 14,7 - 9,5 - 5,4 - 9,0.35 (H) Hartford,-0.50 @ NJIT,,,-0.078,258
,,Holy Cross,,Patriot,-0.093,5 - 11,5 - 11,2 - 7,3 - 4,0.42 @ Army,-0.70 (H) Lehigh,,,0.012,131
,,Quinnipiac,,MAAC,-0.094,9 - 13,7 - 10,8 - 5,1 - 8,0.44 (H) Iona,-0.60 (H) Manhattan,,,-0.094,278
,,Lafayette,,Patriot,-0.095,9 - 6,9 - 5,6 - 3,3 - 3,0.19 @ Bucknell,-0.56 @ Lehigh,,,-0.128,319
,,Portland,,WCC,-0.095,6 - 15,0 - 12,5 - 8,1 - 7,0.49 @ Oregon State,-0.58 (H) San Diego,,,0.011,132
,,Northern Arizona,,Big Sky,-0.097,6 - 16,4 - 10,1 - 7,5 - 9,0.26 @ Montana,-0.45 (H) Idaho State,,,-0.005,151
,,Cal State-Northridge,,Big West,-0.1,9 - 13,5 - 9,4 - 7,5 - 6,0.42 @ Pepperdine,-0.66 @ Cal Poly,,,-0.051,212
,,Fairleigh Dickinson,,NEC,-0.1,9 - 15,8 - 10,4 - 6,5 - 9,0.43 (H) Bryant,-0.73 (H) Central Connecticut,,,-0.04,192
,,Fairfield,,MAAC,-0.1,10 - 17,7 - 11,4 - 8,6 - 9,0.46 (H) Iona,-0.68 (H) Rider,,,-0.06,222
,,Grambling,,SWAC,-0.102,12 - 12,10 - 6,6 - 4,6 - 8,0.41 @ Texas Southern,-0.73 @ Mississippi Valley State,,,-0.134,323
,,Texas-Rio Grande Valley,,WAC,-0.102,9 - 10,2 - 5,8 - 3,1 - 7,0.28 (H) Texas-San Antonio,-0.45 (H) Tarleton State,,,-0.145,329
,,Florida Gulf Coast,,ASUN,-0.103,10 - 8,4 - 5,7 - 4,3 - 4,0.26 @ Lipscomb,-0.70 (H) Florida International,,,-0.153,336
,,Long Beach State,,Big West,-0.104,6 - 14,4 - 10,4 - 3,2 - 11,0.26 (H) Cal State-Bakersfield,-0.42 @ Cal State-Fullerton,,,-0.029,181
,,SE Missouri State,,OVC,-0.104,11 - 16,9 - 11,7 - 6,4 - 10,0.53 (H) Eastern Kentucky,-0.61 @ Tennessee Tech,,,-0.076,248
,,UMKC,,Summit,-0.105,11 - 13,7 - 7,8 - 4,3 - 9,0.34 @ Oral Roberts,-0.51 @ North Dakota,,,-0.146,330
,,Gardner-Webb,,Big South,-0.108,11 - 15,10 - 10,7 - 4,4 - 11,0.29 @ Radford,-0.62 @ USC-Upstate,,,-0.088,274
,,Southern Miss,,C-USA,-0.109,8 - 17,5 - 13,6 - 7,2 - 10,0.22 (H) UTEP,-0.44 @ Jacksonville,,,-0.036,189
,,Illinois State,,MVC,-0.12,7 - 18,4 - 14,3 - 8,4 - 10,0.25 @ Southern Illinois,-0.53 (H) Valparaiso,,,-0.005,152
,,Stetson,,ASUN,-0.12,11 - 14,7 - 9,7 - 5,4 - 9,0.49 (H) Liberty,-0.92 (H) Non D-I,,,-0.112,297
,,Cal State-Fullerton,,Big West,-0.122,6 - 10,5 - 9,5 - 4,1 - 6,0.45 (H) UC-Irvine,-0.72 (N) Cal Poly,,,-0.053,214
,,George Washington,,Atlantic 10,-0.125,5 - 12,3 - 5,3 - 6,2 - 6,0.25 (H) Duquesne,-0.56 (H) Hampton,,,-0.018,170
,,Eastern Michigan,,MAC,-0.125,6 - 12,3 - 11,5 - 4,1 - 8,0.44 (H) Akron,-0.82 (H) Central Michigan,,,-0.049,206
,,Jacksonville,,ASUN,-0.126,11 - 13,5 - 9,7 - 5,4 - 8,0.20 (H) Lipscomb,-0.63 (H) North Florida,,,-0.137,324
,,New Mexico,,Mountain West,-0.127,6 - 16,2 - 15,0 - 0,6 - 16,0.34 @ Rice,-0.66 (N) San Jose State,,,0.013,130
,,St. Francis (PA),,NEC,-0.127,6 - 16,5 - 13,4 - 6,2 - 10,0.42 (H) Bryant,-0.73 (H) Central Connecticut,,,-0.031,183
,,Western Michigan,,MAC,-0.129,5 - 16,4 - 12,2 - 9,3 - 7,0.39 @ Bowling Green,-0.66 (H) Eastern Michigan,,,-0.004,149
,,Northwestern State,,Southland,-0.13,11 - 18,9 - 7,6 - 4,5 - 14,0.07 (N) New Orleans,-0.74 (H) Incarnate Word,,,-0.056,218
,,UNC-Wilmington,,CAA,-0.131,7 - 10,1 - 6,3 - 4,4 - 6,0.45 @ Norfolk State,-0.59 @ Towson,,,-0.087,269
,,Green Bay,,Horizon,-0.133,8 - 17,8 - 12,6 - 6,2 - 11,0.26 (H) Northern Kentucky,-0.62 (H) Eastern Illinois,,,-0.041,194
,,Air Force,,Mountain West,-0.134,5 - 20,3 - 17,3 - 8,2 - 12,0.52 @ Nevada,-0.70 (H) New Mexico,,,0.052,96
,,Illinois-Chicago,,Horizon,-0.135,9 - 13,6 - 10,7 - 4,2 - 9,0.21 @ Youngstown State,-0.62 (H) Green Bay,,,-0.093,277
,,Manhattan,,MAAC,-0.135,7 - 13,6 - 12,4 - 6,3 - 7,0.53 @ Iona,-0.71 (H) Rider,,,-0.077,253
,,San Jose State,,Mountain West,-0.135,5 - 16,3 - 13,1 - 2,4 - 14,0.04 (N) New Mexico,-0.67 (N) New Mexico,,,0.033,112
,,Lamar,,Southland,-0.137,10 - 18,7 - 10,5 - 5,5 - 13,0.40 (H) Stephen F. Austin,-0.75 (H) Incarnate Word,,,-0.074,245
,,Purdue-Fort Wayne,,Horizon,-0.137,8 - 15,6 - 12,5 - 6,3 - 9,0.54 (H) Cleveland State,-0.81 (H) Robert Morris,,,-0.072,239
,,Louisiana-Monroe,,Sun Belt,-0.138,7 - 19,6 - 15,5 - 8,2 - 11,0.45 @ Louisiana,-0.55 (H) Lamar,,,-0.036,186
,,SIU-Edwardsville,,OVC,-0.138,9 - 17,7 - 13,2 - 8,7 - 9,0.68 @ Morehead State,-0.77 (H) Nebraska-Omaha,,,-0.066,233
,,Florida International,,C-USA,-0.139,9 - 17,2 - 15,7 - 8,2 - 9,0.51 (H) Old Dominion,-0.64 (H) Southern Miss,,,-0.079,260
,,Rider,,MAAC,-0.143,6 - 17,5 - 13,1 - 8,5 - 9,0.31 @ St. Peter's,-0.63 (H) NJIT,,,-0.032,185
,,Portland State,,Big Sky,-0.143,9 - 13,6 - 8,7 - 6,2 - 7,0.45 (H) Weber State,-0.92 (H) Non D-I,,,-0.124,316
,,Towson,,CAA,-0.144,4 - 14,3 - 9,4 - 4,0 - 10,0.33 (H) Northeastern,-0.44 (H) William & Mary,,,-0.013,165
,,New Orleans,,Southland,-0.145,10 - 15,8 - 7,6 - 3,4 - 12,0.08 (H) Northwestern State,-0.57 @ Central Arkansas,,,-0.12,311
,,Utah Tech,,WAC,-0.146,8 - 13,4 - 10,5 - 7,3 - 6,0.27 @ Utah Valley,-0.71 (H) New Mexico,,,-0.096,281
,,Tennessee-Martin,,OVC,-0.149,8 - 16,6 - 14,6 - 7,2 - 9,0.16 (H) Austin Peay,-0.79 (H) Western Illinois,,,-0.07,237
,,Central Arkansas,,Southland,-0.151,5 - 19,4 - 12,4 - 5,1 - 14,0.55 (H) Abilene Christian,-0.79 (H) McNeese State,,,-0.002,145
,,Longwood,,Big South,-0.151,12 - 16,10 - 10,8 - 5,4 - 11,0.28 (H) Campbell,-0.92 (H) Non D-I,,,-0.113,298
,,Middle Tennessee,,C-USA,-0.153,5 - 18,3 - 14,5 - 6,0 - 12,0.17 (H) Murray State,-0.70 (H) Florida International,,,0.001,143
,,Alcorn State,,SWAC,-0.153,6 - 13,6 - 7,4 - 3,2 - 10,0.05 (H) Alabama A&M,-0.57 (H) Southern U.,,,-0.075,246
,,Southern U.,,SWAC,-0.154,8 - 11,8 - 6,5 - 2,3 - 9,0.16 @ Grambling,-0.72 @ Alabama State,,,-0.118,307
,,Tennessee Tech,,OVC,-0.154,5 - 22,5 - 16,5 - 6,0 - 16,0.17 (H) Murray State,-0.66 @ Tennessee State,,,0.004,137
,,Central Connecticut,,NEC,-0.157,5 - 16,5 - 13,3 - 6,2 - 10,0.36 (H) Wagner,-0.52 @ St. Francis (PA),,,-0.036,187
,,Florida A&M,,MEAC,-0.157,8 - 12,7 - 5,4 - 1,4 - 11,0.22 @ Austin Peay,-0.80 @ South Carolina State,,,-0.1,286
,,Alabama A&M,,SWAC,-0.16,6 - 9,4 - 9,5 - 2,1 - 7,0.32 (H) South Alabama,-0.77 @ Alabama State,,,-0.134,322
,,Eastern Illinois,,OVC,-0.166,9 - 18,6 - 14,5 - 7,4 - 11,0.22 @ Murray State,-0.68 @ Tennessee State,,,-0.073,241
,,North Dakota,,Summit,-0.166,9 - 17,8 - 8,5 - 3,4 - 14,0.33 @ Oral Roberts,-0.81 @ Denver,,,-0.083,267
,,Binghamton,,America East,-0.168,4 - 14,4 - 10,1 - 9,3 - 5,0.51 @ UMBC,-0.52 (H) Stony Brook,,,-0.076,252
,,North Florida,,ASUN,-0.168,8 - 15,6 - 6,5 - 3,3 - 12,0.26 @ Lipscomb,-0.94 (H) Non D-I,,,-0.087,271
,,Lehigh,,Patriot,-0.171,4 - 11,4 - 10,1 - 5,3 - 6,0.19 (H) Lafayette,-0.45 (H) Loyola (MD),,,-0.045,201
,,High Point,,Big South,-0.172,9 - 15,6 - 11,5 - 5,4 - 10,0.18 @ William & Mary,-0.83 (H) Charleston Southern,,,-0.117,306
,,NJIT,,America East,-0.178,7 - 12,6 - 11,3 - 5,4 - 7,0.42 (H) UMBC,-0.76 (H) Maine,,,-0.102,288
,,Cal Poly,,Big West,-0.179,4 - 20,1 - 15,3 - 8,1 - 12,0.09 (H) Cal State-Northridge,-0.58 (H) San Diego,,,-0.012,164
,,North Carolina Central,,MEAC,-0.182,5 - 9,3 - 5,4 - 2,1 - 7,0.09 (N) Southern U.,-0.59 (H) Florida A&M,,,-0.138,326
,,Hampton,,Big South,-0.186,11 - 14,9 - 9,5 - 7,6 - 7,0.16 (H) UNC-Asheville,-0.76 (H) Presbyterian,,,-0.166,347
,,Southeastern Louisiana,,Southland,-0.192,8 - 18,5 - 11,3 - 4,5 - 14,0.21 @ California Baptist,-0.77 (H) McNeese State,,,-0.076,251
,,Robert Morris,,Horizon,-0.194,4 - 15,3 - 12,3 - 6,1 - 9,0.16 (H) Milwaukee,-0.47 @ Purdue-Fort Wayne,,,-0.057,221
,,Fordham,,Atlantic 10,-0.201,2 - 12,2 - 11,2 - 5,0 - 7,0.44 (H) Dayton,-0.69 (H) George Washington,,,0.017,124
,,Central Michigan,,MAC,-0.203,7 - 16,3 - 13,5 - 6,2 - 10,0.56 (H) Toledo,-0.90 (N) Non D-I,,,-0.073,243
,,Western Illinois,,Summit,-0.205,7 - 15,5 - 9,2 - 5,5 - 10,0.07 @ Tennessee-Martin,-0.75 (H) Central Michigan,,,-0.116,302
,,Maine,,America East,-0.205,2 - 7,2 - 6,1 - 1,1 - 6,0.16 (H) New Hampshire,-0.61 @ Boston College,,,-0.057,220
,,Houston Christian,,Southland,-0.207,6 - 19,4 - 11,4 - 6,2 - 13,0.07 (H) Northwestern State,-0.89 (H) TAMU-Corpus Christi,,,-0.068,234
,,Tennessee State,,OVC,-0.209,4 - 19,3 - 17,4 - 8,0 - 11,0.05 (H) Tennessee-Martin,-0.59 @ Tennessee Tech,,,-0.061,227
,,Kennesaw State,,ASUN,-0.209,5 - 19,2 - 13,5 - 9,0 - 10,0.17 (H) Florida Gulf Coast,-0.55 @ North Florida,,,-0.092,276
,,Northern Illinois,,MAC,-0.211,3 - 16,2 - 12,2 - 7,1 - 9,0.42 (H) Akron,-0.73 (H) Western Michigan,,,-0.006,155
,,Nebraska-Omaha,,Summit,-0.219,5 - 20,3 - 11,1 - 5,4 - 15,0.08 @ SIU-Edwardsville,-0.75 (H) Western Illinois,,,-0.049,207
,,USC-Upstate,,Big South,-0.223,5 - 18,5 - 11,3 - 8,2 - 10,0.12 (H) Gardner-Webb,-0.95 (H) Non D-I,,,-0.08,262
,,Incarnate Word,,Southland,-0.223,8 - 14,5 - 9,5 - 7,3 - 7,0.11 @ Northwestern State,-0.80 (H) Houston Christian,,,-0.161,344
,,Delaware State,,MEAC,-0.225,3 - 16,1 - 11,3 - 6,0 - 10,0.27 (H) Morgan State,-0.61 (H) Manhattan,,,-0.052,213
,,Presbyterian,,Big South,-0.233,7 - 15,5 - 12,5 - 6,2 - 9,0.20 (H) Radford,-0.82 (H) Charleston Southern,,,-0.157,340
,,Arkansas-Pine Bluff,,SWAC,-0.235,4 - 21,3 - 12,2 - 3,2 - 18,0.16 @ Arkansas State,-0.74 @ Alabama State,,,-0.031,182
,,McNeese State,,Southland,-0.248,10 - 14,4 - 11,7 - 5,3 - 9,0.05 @ Southeastern Louisiana,-0.73 (H) Central Arkansas,,,-0.212,348
,,TAMU-Corpus Christi,,Southland,-0.249,5 - 19,2 - 13,4 - 8,1 - 11,0.07 (H) Lamar,-0.74 (H) Incarnate Word,,,-0.111,295
,,Howard,,MEAC,-0.251,1 - 4,0 - 0,1 - 1,0 - 3,0.06 (H) Hampton,-0.88 (N) Non D-I,,,-0.115,301
,,Charleston Southern,,Big South,-0.263,3 - 18,2 - 15,1 - 9,2 - 9,0.09 @ High Point,-0.59 (H) Hampton,,,-0.105,291
,,Idaho,,Big Sky,-0.286,1 - 21,1 - 17,1 - 9,0 - 12,0.22 (H) Montana State,-0.70 (H) Portland State,,,-0.029,180
,,Non D-I,,Non D-I,-0.296,11 - 331,0 - 0,0 - 2,11 - 329,0.47 @ Texas State,-0.90 @ McNeese State,,,0.023,121
,,Chicago State,,WAC,-0.299,0 - 9,0 - 0,0 - 0,0 - 9,-0.70 @ Northern Illinois,-0.00 @ Illinois,,,0.072,85
,,Mississippi Valley State,,SWAC,-0.3,2 - 22,2 - 13,1 - 5,1 - 17,0.12 (H) Grambling,-0.92 (H) Arkansas-Pine Bluff,,,-0.023,177
,,Alabama State,,SWAC,-0.305,4 - 14,4 - 14,3 - 6,1 - 8,0.07 (H) Southern U.,-0.87 (H) Mississippi Valley State,,,-0.154,337
,,South Carolina State,,MEAC,-0.359,1 - 17,1 - 7,1 - 6,0 - 11,0.06 (H) Florida A&M,-0.61 @ Presbyterian,,,-0.076,250
,,Denver,,Summit,-0.373,2 - 19,1 - 13,2 - 10,0 - 9,0.05 (H) North Dakota,-0.78 (H) Nebraska-Omaha,,,-0.139,327
