,Team,preds
352,San Jose St.,15.77434389278851
282,FIU,15.774365957007845
283,Robert Morris,15.77436813670493
277,Louisiana Monroe,15.774380256406632
353,Fresno St.,15.77438709576399
211,Louisville,15.774415052383267
345,Old Dominion,15.774424861833566
337,Utah Tech,15.774425806364642
230,Tennessee Tech,15.774456870619446
318,UT Rio Grande Valley,15.774466986249399
314,Western Michigan,15.774490701043952
350,East Carolina,15.774515106003916
86,Rutgers,15.77454867668986
292,Cal St. Bakersfield,15.77456062445963
235,Presbyterian,15.774584554655325
188,Chicago St.,15.774640913119109
311,Coastal Carolina,15.774657790837674
336,Marshall,15.774674987121116
330,Southern Utah,15.77472984572479
248,Idaho,15.774757423545756
321,VMI,15.77482483041463
189,The Citadel,15.774863600705599
302,South Carolina St.,15.774864886558321
257,Siena,15.774886579901015
208,Illinois Chicago,15.774894020150724
244,Coppin St.,15.774900685964122
141,Rice,15.774977584878465
275,Miami OH,15.774993336727457
207,Evansville,15.775001440131234
160,USC Upstate,15.775052758262392
347,Pepperdine,15.775072842356971
173,Maine,15.77512063672642
221,Manhattan,15.775178058579284
243,Iona,15.77520605996641
215,Idaho St.,15.775208037577604
303,Binghamton,15.775249931743986
194,Furman,15.77525727792012
205,Rhode Island,15.775280949653862
338,Utah Valley,15.775284736744693
135,Mercer,15.775287613395427
108,Temple,15.775310152492862
329,Gardner Webb,15.775338192482247
293,Eastern Illinois,15.77546022912358
184,Sam Houston St.,15.775522592451031
289,Northern Kentucky,15.775558250602055
128,Abilene Christian,15.775582535751317
162,Canisius,15.77561840498845
107,Brown,15.775660889666376
96,Wichita St.,15.775719833119988
190,Wofford,15.77581163327624
326,Charleston Southern,15.775996709466817
115,Vanderbilt,15.77600990673613
328,Georgia St.,15.776024848141331
179,Stephen F. Austin,15.776061384556073
229,Jacksonville St.,15.776232532345874
316,Winthrop,15.776263033896484
140,Fordham,15.776302488398926
169,Florida Gulf Coast,15.776308283220834
351,La Salle,15.776359086949762
308,Tulsa,15.776536279803226
331,Cal St. Fullerton,15.776542468730346
139,Murray St.,15.776568581999081
323,Louisiana,15.77668685861027
204,San Diego,15.776703943477523
309,New Hampshire,15.77693785376278
223,Sacramento St.,15.777139125581682
203,Loyola Marymount,15.77715903541894
111,Davidson,15.777364525257987
177,Kent St.,15.777489418248019
200,George Washington,15.777532505395563
288,Columbia,15.777867717774633
234,Le Moyne,15.779831168476031
82,Maryland,15.780460062157614
58,Miami FL,15.782768850952408
85,Penn St.,15.793304616567667
