,,,,,,,,,,,
TEAM,CONF,W-L,BPI,BPI RK,TREND,OFF,DEF,OVR W-L,CONF W-L,WIN CONF%,REM SOS RK
Santa Clara Broncos,WCC,21-12,6.6,79,--,5.4,1.2,21.0-12.0,10.0-5.0,<0.1%,-
Northwestern Wildcats,Big Ten,15-16,6.6,80,--,2.5,4.1,15.0-16.0,7.0-13.0,<0.1%,-
Penn State Nittany Lions,Big Ten,14-17,6.4,81,1,2.5,4,14.0-17.0,7.0-13.0,<0.1%,-
Colorado State Rams,Mountain West,25-6,6.4,82,1,5.9,0.5,25.0-6.0,14.0-4.0,<0.1%,-
Missouri State Bears,MVC,23-11,6.4,83,2,5.9,0.4,23.0-11.0,13.0-5.0,<0.1%,-
BYU Cougars,WCC,24-11,6.2,84,--,3.8,2.5,24.0-11.0,9.0-6.0,<0.1%,-
Fresno State Bulldogs,Mountain West,23-13,6.2,85,--,1.3,4.8,23.0-13.0,8.0-9.0,<0.1%,-
South Carolina Gamecocks,SEC,18-13,5.7,86,--,-0.3,6,18.0-13.0,9.0-9.0,<0.1%,-
Utah State Aggies,Mountain West,18-16,5.6,87,--,3.7,1.9,18.0-16.0,8.0-10.0,<0.1%,-
Wichita State Shockers,American,15-13,5.5,88,--,0.7,4.8,15.0-13.0,6.0-9.0,<0.1%,-
Drake Bulldogs,MVC,25-11,5.4,89,--,3.9,1.5,25.0-11.0,13.0-5.0,<0.1%,-
Arizona State Sun Devils,Pac-12,14-17,5.3,90,--,-0.7,5.9,14.0-17.0,10.0-10.0,<0.1%,-
Florida State Seminoles,ACC,17-14,5.2,91,1,2.4,2.7,17.0-14.0,10.0-10.0,<0.1%,-
UNLV Rebels,Mountain West,18-14,5.1,92,1,2.9,2.2,18.0-14.0,10.0-8.0,<0.1%,-
Colorado Buffaloes,Pac-12,21-12,4.9,93,--,1.7,3.2,21.0-12.0,12.0-8.0,<0.1%,-
DePaul Blue Demons,Big East,15-16,4.9,94,1,2.9,2,15.0-16.0,6.0-14.0,<0.1%,-
Tulane Green Wave,American,14-15,4.9,95,1,3.6,1.3,14.0-15.0,10.0-8.0,<0.1%,-
Saint Peter's Peacocks,MAAC,22-12,4.8,96,--,-1.5,6.3,22.0-12.0,14.0-6.0,<0.1%,-
UCF Knights,American,18-12,4.7,97,--,2.5,2.2,18.0-12.0,9.0-9.0,<0.1%,-
Middle Tennessee Blue Raiders,C-USA,26-11,4.6,98,--,2.2,2.4,26.0-11.0,13.0-5.0,<0.1%,-
Grand Canyon Lopes,WAC,23-8,4.5,99,2,0.5,4,23.0-8.0,13.0-5.0,<0.1%,-
Liberty Flames,ASUN,22-11,4.5,100,1,3.1,1.4,22.0-11.0,12.0-4.0,<0.1%,-
Cincinnati Bearcats,American,18-15,4.5,101,1,1.2,3.3,18.0-15.0,7.0-11.0,<0.1%,-
Ole Miss Rebels,SEC,13-19,4.4,102,--,2,2.5,13.0-19.0,4.0-14.0,<0.1%,-
George Mason Patriots,A 10,14-16,4.2,103,1,2.3,2,14.0-16.0,7.0-9.0,<0.1%,-
Northern Iowa Panthers,MVC,20-12,4.2,104,1,4.6,-0.4,20.0-12.0,14.0-4.0,>99.9%,-
Akron Zips,MAC,24-10,4.2,105,2,3,1.2,24.0-10.0,14.0-6.0,<0.1%,-
New Mexico State Aggies,WAC,27-7,3.9,106,--,2,1.9,27.0-7.0,14.0-4.0,>99.9%,-
Louisiana Tech Bulldogs,C-USA,24-10,3.9,107,--,2.4,1.5,24.0-10.0,12.0-6.0,<0.1%,-
