,,,,,,,,,,,
TEAM,CONF,W-L,BPI,BPI RK,TREND,OFF,DEF,OVR W-L,CONF W-L,WIN CONF%,REM SOS RK
Sacred Heart Pioneers,NEC,15-17,-3.6,232,1,-0.1,-3.5,15.0-17.0,11.0-7.0,<0.1%,-
Norfolk State Spartans,MEAC,22-14,-3.6,233,3,-3.8,0.2,22.0-14.0,14.0-2.0,>99.9%,-
Troy Trojans,Sun Belt,12-18,-3.7,234,1,-0.4,-3.3,12.0-18.0,5.0-13.0,<0.1%,-
Washington State Cougars,Pac-12,11-21,-3.8,235,1,1.6,-5.3,11.0-21.0,4.0-14.0,<0.1%,-
Long Island University Sharks,NEC,16-16,-3.8,236,2,-3.2,-0.6,16.0-16.0,9.0-9.0,<0.1%,-
Eastern Washington Eagles,Big Sky,16-18,-3.9,237,3,-1.2,-2.6,16.0-18.0,12.0-8.0,<0.1%,-
Robert Morris Colonials,NEC,18-17,-3.9,238,--,-4.3,0.5,18.0-17.0,11.0-7.0,<0.1%,-
Cal State Bakersfield Roadrunners,WAC,18-16,-3.9,239,2,-1.5,-2.5,18.0-16.0,7.0-9.0,<0.1%,-
Cornell Big Red,Ivy,15-16,-4,240,1,-3.8,-0.2,15.0-16.0,7.0-7.0,<0.1%,-
Little Rock Trojans,Sun Belt,10-21,-4,241,--,-2.8,-1.2,10.0-21.0,5.0-13.0,<0.1%,-
The Citadel Bulldogs,Southern,12-18,-4.1,242,1,2.6,-6.7,12.0-18.0,4.0-14.0,<0.1%,-
Portland State Vikings,Big Sky,16-16,-4.2,243,1,-1.5,-2.7,16.0-16.0,11.0-9.0,<0.1%,-
UMass Lowell River Hawks,Am. East,15-17,-4.2,244,2,0,-4.2,15.0-17.0,7.0-9.0,<0.1%,-
Drexel Dragons,CAA,13-19,-4.3,245,1,0.6,-4.8,13.0-19.0,7.0-11.0,<0.1%,-
Fordham Rams,A 10,12-20,-4.3,246,1,-4.5,0.2,12.0-20.0,3.0-15.0,<0.1%,-
Sacramento State Hornets,Big Sky,15-16,-4.3,247,--,-4.3,0,15.0-16.0,8.0-12.0,<0.1%,-
Evansville Purple Aces,MVC,11-21,-4.6,248,--,-3.7,-0.9,11.0-21.0,5.0-13.0,<0.1%,-
North Dakota Fighting Hawks,Summit,12-18,-4.6,249,--,-3.1,-1.5,12.0-18.0,6.0-10.0,<0.1%,-
Marist Red Foxes,MAAC,12-19,-4.6,250,--,-1.7,-2.9,12.0-19.0,7.0-11.0,<0.1%,-
Siena Saints,MAAC,17-16,-4.6,251,1,-1.5,-3.1,17.0-16.0,11.0-7.0,<0.1%,-
Morehead State Eagles,OVC,13-20,-4.6,252,1,-1.2,-3.4,13.0-20.0,8.0-10.0,<0.1%,-
Florida Gulf Coast Eagles,ASUN,14-18,-4.6,253,2,-2.5,-2.2,14.0-18.0,9.0-7.0,<0.1%,-
Canisius Golden Griffins,MAAC,15-17,-4.7,254,1,-1.7,-3,15.0-17.0,11.0-7.0,<0.1%,-
Jacksonville Dolphins,ASUN,12-20,-4.7,255,1,-2.7,-2,12.0-20.0,5.0-11.0,<0.1%,-
Chattanooga Mocs,Southern,12-20,-4.9,256,--,-2.2,-2.7,12.0-20.0,7.0-11.0,<0.1%,-
UC Davis Aggies,Big West,11-20,-5,257,1,-4.5,-0.4,11.0-20.0,7.0-9.0,<0.1%,-
St. Francis Brooklyn Terriers,NEC,17-16,-5,258,1,-4.8,-0.2,17.0-16.0,9.0-9.0,<0.1%,-
Montana State Bobcats,Big Sky,15-17,-5,259,--,2,-7,15.0-17.0,11.0-9.0,<0.1%,-
Delaware Blue Hens,CAA,17-16,-5.2,260,1,-0.1,-5.1,17.0-16.0,8.0-10.0,<0.1%,-
Western Michigan Broncos,MAC,8-24,-5.3,261,1,-3.4,-1.9,8.0-24.0,2.0-16.0,<0.1%,-
SE Louisiana Lions,Southland,17-16,-5.3,262,2,-4,-1.3,17.0-16.0,12.0-6.0,<0.1%,-
UNC Wilmington Seahawks,CAA,10-23,-5.3,263,--,1.2,-6.6,10.0-23.0,5.0-13.0,<0.1%,-
Kansas City Roos,WAC,11-21,-5.4,264,3,-2.9,-2.5,11.0-21.0,6.0-10.0,<0.1%,-
North Carolina Central Eagles,MEAC,18-16,-5.4,265,--,-3.6,-1.8,18.0-16.0,10.0-6.0,<0.1%,-
Grambling Tigers,SWAC,17-17,-5.4,266,2,-5.6,0.2,17.0-17.0,10.0-8.0,<0.1%,-
Loyola Maryland Greyhounds,Patriot,11-21,-5.4,267,1,-2.1,-3.3,11.0-21.0,7.0-11.0,<0.1%,-
Albany Great Danes,Am. East,12-20,-5.6,268,3,-3.9,-1.7,12.0-20.0,7.0-9.0,<0.1%,-
Arkansas State Red Wolves,Sun Belt,13-19,-5.6,269,1,-1.9,-3.7,13.0-19.0,7.0-11.0,<0.1%,-
Detroit Mercy Titans,Horizon,11-20,-5.7,270,--,-0.2,-5.4,11.0-20.0,8.0-10.0,<0.1%,-
Southern Utah Thunderbirds,Big Sky,17-17,-5.7,271,2,-4.5,-1.3,17.0-17.0,9.0-11.0,<0.1%,-
Houston Christian Huskies,Southland,12-18,-6,272,--,0,-5.9,12.0-18.0,8.0-10.0,<0.1%,-
Towson Tigers,CAA,10-22,-6,273,1,-2.6,-3.5,10.0-22.0,6.0-12.0,<0.1%,-
Fairfield Stags,MAAC,9-22,-6,274,1,-4.3,-1.7,9.0-22.0,6.0-12.0,<0.1%,-
California Golden Bears,Pac-12,8-23,-6.1,275,--,-2,-4.1,8.0-23.0,3.0-15.0,<0.1%,-
Bethune-Cookman Wildcats,MEAC,14-17,-6.1,276,--,-6.2,0,14.0-17.0,9.0-7.0,<0.1%,-
Middle Tennessee Blue Raiders,C-USA,11-21,-6.2,277,--,-5,-1.2,11.0-21.0,8.0-10.0,<0.1%,-
East Carolina Pirates,American,10-21,-6.2,278,--,-4.6,-1.7,10.0-21.0,3.0-15.0,<0.1%,-
Cal State Northridge Matadors,Big West,13-21,-6.3,279,1,-0.4,-5.8,13.0-21.0,7.0-9.0,<0.1%,-
George Washington Colonials,A 10,9-24,-6.3,280,1,-5,-1.3,9.0-24.0,4.0-14.0,<0.1%,-
Rice Owls,C-USA,13-19,-6.4,281,2,-1.6,-4.8,13.0-19.0,8.0-10.0,<0.1%,-
New Orleans Privateers,Southland,19-14,-6.4,282,1,-5.8,-0.6,19.0-14.0,12.0-6.0,<0.1%,-
Monmouth Hawks,MAAC,14-21,-6.4,283,2,-7.1,0.7,14.0-21.0,10.0-8.0,<0.1%,-
Tulane Green Wave,American,4-27,-6.4,284,2,-4.9,-1.5,4.0-27.0,0.0-18.0,<0.1%,-
Tennessee State Tigers,OVC,9-21,-6.4,285,1,-3.4,-3,9.0-21.0,6.0-12.0,<0.1%,-
Youngstown State Penguins,Horizon,12-20,-6.4,286,4,-1,-5.4,12.0-20.0,8.0-10.0,<0.1%,-
Air Force Falcons,Mountain West,14-18,-6.5,287,--,-2.9,-3.6,14.0-18.0,8.0-10.0,<0.1%,-
Navy Midshipmen,Patriot,12-19,-6.6,288,--,-4.9,-1.7,12.0-19.0,8.0-10.0,<0.1%,-
Lafayette Leopards,Patriot,10-20,-6.6,289,1,-1.5,-5.2,10.0-20.0,7.0-11.0,<0.1%,-
Western Carolina Catamounts,Southern,7-25,-6.7,290,1,-3,-3.6,7.0-25.0,4.0-14.0,<0.1%,-
James Madison Dukes,CAA,14-19,-6.7,291,1,-2.6,-4.1,14.0-19.0,6.0-12.0,<0.1%,-
Longwood Lancers,Big South,16-18,-6.7,292,1,-4.3,-2.4,16.0-18.0,5.0-11.0,<0.1%,-
Western Illinois Leathernecks,Summit,10-21,-6.7,293,--,-4.6,-2.2,10.0-21.0,4.0-12.0,<0.1%,-
North Carolina A&T Aggies,MEAC,19-13,-6.7,294,--,-4.1,-2.6,19.0-13.0,13.0-3.0,<0.1%,-
Wagner Seahawks,NEC,13-17,-6.8,295,1,-5.9,-1,13.0-17.0,8.0-10.0,<0.1%,-
Milwaukee Panthers,Horizon,9-22,-6.9,296,1,-3.3,-3.6,9.0-22.0,4.0-14.0,<0.1%,-
UT Martin Skyhawks,OVC,12-19,-6.9,297,--,0,-7,12.0-19.0,6.0-12.0,<0.1%,-
Niagara Purple Eagles,MAAC,13-19,-7,298,1,-1.2,-5.8,13.0-19.0,6.0-12.0,<0.1%,-
Cleveland State Vikings,Horizon,10-21,-7,299,1,-2.5,-4.5,10.0-21.0,5.0-13.0,<0.1%,-
Howard Bison,MEAC,17-17,-7.2,300,--,-1.5,-5.7,17.0-17.0,10.0-6.0,<0.1%,-
Oral Roberts Golden Eagles,Summit,11-21,-7.3,301,--,-0.9,-6.4,11.0-21.0,7.0-9.0,<0.1%,-
VMI Keydets,Southern,11-21,-7.3,302,--,-1.9,-5.4,11.0-21.0,4.0-14.0,<0.1%,-
Texas A&M-Corpus Christi Islanders,Southland,14-18,-7.4,303,--,-6.4,-1,14.0-18.0,9.0-9.0,<0.1%,-
Saint Peter's Peacocks,MAAC,10-22,-7.6,304,--,-5.7,-1.9,10.0-22.0,6.0-12.0,<0.1%,-
Eastern Illinois Panthers,OVC,14-18,-7.6,305,--,-2.8,-4.8,14.0-18.0,7.0-11.0,<0.1%,-
Central Arkansas Bears,Southland,14-19,-8,306,--,-3.9,-4.1,14.0-19.0,8.0-10.0,<0.1%,-
UC Riverside Highlanders,Big West,10-23,-8.1,307,1,-3.2,-5,10.0-23.0,4.0-12.0,<0.1%,-
UTEP Miners,C-USA,8-21,-8.2,308,1,-8.5,0.2,8.0-21.0,3.0-15.0,<0.1%,-
Nicholls Colonels,Southland,14-17,-8.3,309,2,-4.1,-4.1,14.0-17.0,7.0-11.0,<0.1%,-
Northern Arizona Lumberjacks,Big Sky,10-21,-8.4,310,1,-2.6,-5.8,10.0-21.0,8.0-12.0,<0.1%,-
Elon Phoenix,CAA,11-21,-8.5,311,1,-3.4,-5.1,11.0-21.0,7.0-11.0,<0.1%,-
Stephen F. Austin Lumberjacks,Southland,14-16,-8.6,312,--,-6.1,-2.5,14.0-16.0,7.0-11.0,<0.1%,-
Southeast Missouri State Redhawks,OVC,10-21,-8.7,313,--,-4.1,-4.6,10.0-21.0,5.0-13.0,<0.1%,-
Charlotte 49ers,C-USA,8-21,-8.8,314,--,-6.1,-2.7,8.0-21.0,5.0-13.0,<0.1%,-
Arkansas-Pine Bluff Golden Lions,SWAC,13-19,-9,315,--,-5.9,-3.1,13.0-19.0,10.0-8.0,<0.1%,-
Manhattan Jaspers,MAAC,11-21,-9,316,1,-9.5,0.5,11.0-21.0,8.0-10.0,<0.1%,-
Idaho State Bengals,Big Sky,11-19,-9.1,317,1,-0.6,-8.5,11.0-19.0,7.0-13.0,<0.1%,-
North Alabama Lions,ASUN,10-22,-9.2,318,--,-7.5,-1.7,10.0-22.0,7.0-9.0,<0.1%,-
Central Connecticut Blue Devils,NEC,11-20,-9.3,319,--,-4.6,-4.7,11.0-20.0,5.0-13.0,<0.1%,-
Alabama State Hornets,SWAC,12-19,-9.3,320,--,-6.1,-3.2,12.0-19.0,9.0-9.0,<0.1%,-
Mount St. Mary's Mountaineers,NEC,9-22,-9.5,321,--,-6.1,-3.4,9.0-22.0,6.0-12.0,<0.1%,-
Denver Pioneers,Summit,8-22,-9.5,322,--,-2.9,-6.6,8.0-22.0,3.0-13.0,<0.1%,-
Bryant Bulldogs,NEC,10-20,-9.6,323,--,-3.3,-6.4,10.0-20.0,7.0-11.0,<0.1%,-
Jackson State Tigers,SWAC,13-19,-9.7,324,1,-9.4,-0.3,13.0-19.0,10.0-8.0,<0.1%,-
Florida A&M Rattlers,MEAC,12-19,-9.7,325,1,-8.9,-0.8,12.0-19.0,9.0-7.0,<0.1%,-
Binghamton Bearcats,Am. East,10-23,-9.8,326,--,-4.8,-5,10.0-23.0,5.0-11.0,<0.1%,-
Tennessee Tech Golden Eagles,OVC,8-23,-10.1,327,--,-9.6,-0.5,8.0-23.0,4.0-14.0,<0.1%,-
Maine Black Bears,Am. East,5-27,-10.3,328,--,-6.3,-3.9,5.0-27.0,3.0-13.0,<0.1%,-
Portland Pilots,WCC,7-25,-10.7,329,--,-6,-4.7,7.0-25.0,0.0-16.0,<0.1%,-
Wyoming Cowboys,Mountain West,8-24,-10.8,330,--,-6.9,-4,8.0-24.0,4.0-14.0,<0.1%,-
South Carolina Upstate Spartans,Big South,6-26,-11.2,331,1,-6.2,-5,6.0-26.0,1.0-15.0,<0.1%,-
McNeese Cowboys,Southland,9-22,-11.2,332,1,-4.4,-6.9,9.0-22.0,5.0-13.0,<0.1%,-
South Carolina State Bulldogs,MEAC,8-26,-11.5,333,--,-4.3,-7.2,8.0-26.0,5.0-11.0,<0.1%,-
Southern Jaguars,SWAC,7-25,-11.8,334,1,-6.9,-4.9,7.0-25.0,6.0-12.0,<0.1%,-
Stetson Hatters,ASUN,7-24,-11.9,335,1,-5.1,-6.8,7.0-24.0,3.0-13.0,<0.1%,-
SIU Edwardsville Cougars,OVC,10-21,-12,336,1,-5.8,-6.2,10.0-21.0,6.0-12.0,<0.1%,-
Morgan State Bears,MEAC,9-21,-12.1,337,3,-8.1,-4,9.0-21.0,4.0-12.0,<0.1%,-
Cal Poly Mustangs,Big West,6-23,-12.2,338,--,-5.6,-6.6,6.0-23.0,2.0-14.0,<0.1%,-
New Hampshire Wildcats,Am. East,5-24,-12.4,339,--,-10.8,-1.6,5.0-24.0,3.0-13.0,<0.1%,-
Northwestern State Demons,Southland,11-20,-13.1,340,--,-9.5,-3.6,11.0-20.0,6.0-12.0,<0.1%,-
Coppin State Eagles,MEAC,8-25,-13.7,341,--,-10.3,-3.4,8.0-25.0,7.0-9.0,<0.1%,-
Kennesaw State Owls,ASUN,6-26,-13.8,342,--,-9.4,-4.4,6.0-26.0,3.0-13.0,<0.1%,-
Savannah State Tigers,MEAC,11-20,-13.9,343,--,-5.8,-8.1,11.0-20.0,8.0-8.0,<0.1%,-
Alcorn State Braves,SWAC,10-21,-14.3,344,--,-9.3,-5,10.0-21.0,6.0-12.0,<0.1%,-
Alabama A&M Bulldogs,SWAC,5-27,-14.5,345,--,-10.4,-4.1,5.0-27.0,4.0-14.0,<0.1%,-
Idaho Vandals,Big Sky,5-27,-14.9,346,--,-6.2,-8.7,5.0-27.0,2.0-18.0,<0.1%,-
San José State Spartans,Mountain West,4-27,-15.1,347,--,-8.1,-7,4.0-27.0,1.0-17.0,<0.1%,-
Incarnate Word Cardinals,Southland,6-25,-15.6,348,--,-6.4,-9.3,6.0-25.0,1.0-17.0,<0.1%,-
Mississippi Valley State Delta Devils,SWAC,6-26,-15.7,349,--,-8.8,-6.9,6.0-26.0,4.0-14.0,<0.1%,-
UNC Asheville Bulldogs,Big South,4-27,-16.7,350,--,-8.5,-8.2,4.0-27.0,2.0-14.0,<0.1%,-
Maryland-Eastern Shore Hawks,MEAC,7-25,-18.8,351,--,-11.9,-6.8,7.0-25.0,5.0-11.0,<0.1%,-
Delaware State Hornets,MEAC,6-25,-18.9,352,--,-13.2,-5.7,6.0-25.0,2.0-14.0,<0.1%,-
Chicago State Cougars,WAC,3-29,-21.6,353,--,-11.1,-10.5,3.0-29.0,0.0-16.0,<0.1%,-
,POWER INDEX,,,,,PROJECTIONS,,,,,
