RANK,TEAM,TREND,,NEXT GAME,
195,"Wright St.


18-15",1,,—,
196,"St. Thomas (MN)


19-14",—,,—,
197,"App. St.


16-16",—,,—,
198,"Gardner-Webb


15-16",—,,—,
199,"St. Bona.


14-18",—,,—,
200,"Saint Joseph's


16-17",—,,—,
201,"Pepperdine


9-22",—,,—,
202,"Rice


18-15",1,,"Sun, Mar 19 @ 1:00 pm","@

Duquesne"
203,"Northwestern St.


22-11",1,,—,
204,"Queens


18-15",—,,—,
205,"Massachusetts


15-16",1,,—,
206,"Abilene Chr.


13-17",1,,—,
207,"Ga. Southern


17-16",—,,—,
208,"Siena


17-15",—,,—,
209,"SMU


10-22",—,,—,
210,"Milwaukee


21-11",—,,"Sun, Mar 19 @ 5:30 pm","@

Stetson"
211,"George Wash.


16-16",—,,—,
212,"Detroit


14-19",—,,—,
213,"Murray St.


17-15",—,,—,
214,"Howard


22-13",—,,—,
215,"N. Dak. St.


16-17",—,,—,
216,"N. Iowa


14-18",—,,—,
217,"Rider


16-14",—,,—,
218,"FIU


14-18",—,,—,
219,"SIUE


19-14",—,,—,
220,"Minnesota


9-22",—,,—,
221,"Florida St.


9-23",1,,—,
222,"Oregon St.


11-21",1,,—,
223,"La Salle


15-19",1,,—,
224,"Sacramento St.


14-18",1,,—,
225,"Delaware


17-16",1,,—,
226,"Wofford


17-16",1,,—,
227,"Mercer


14-19",—,,—,
228,"Morehead St.


22-11",—,,"Sun, Mar 19 @ 3:00 pm","@

UAB"
229,"W. Carolina


18-15",—,,"Sat, Mar 18 @ 5:30 pm","@

Charlotte"
230,"San Diego


11-20",—,,—,
231,"N. Arizona


12-23",—,,—,
232,"Md.-E. Shore


18-13",—,,—,
233,"Campbell


16-18",—,,—,
234,"South Carolina


11-21",—,,—,
235,"N. Colorado


12-20",—,,—,
236,"Jacksonville


13-16",2,,—,
237,"PFW


17-15",1,,—,
238,"North Florida


14-17",1,,—,
239,"N. Alabama


18-14",—,,"Sat, Mar 18 @ 1:00 pm","@

So. Utah"
240,"UMBC


18-14",—,,—,
241,"Jax. State


13-18",—,,—,
242,"SE Missouri St.


19-17",—,,—,
243,"Georgetown


7-25",—,,—,
244,"Alcorn St.


18-14",—,,—,
245,"W. Illinois


16-14",—,,—,
246,"Niagara


16-15",1,,—,
247,"Robert Morris


16-17",1,,—,
248,"Army


17-16",1,,—,
249,"Portland St.


12-19",1,,—,
250,"UT Martin


19-14",1,,—,
251,"UT Arlington


11-21",1,,—,
252,"N. Illinois


13-19",1,,—,
253,"Idaho St.


11-21",1,,—,
254,"Winthrop


15-17",—,,—,
255,"SC Upstate


16-15",1,,"Sat, Mar 18 @ 11:00 am","@

Indiana St."
256,"SE Louisiana


18-14",1,,—,
258,"Bellarmine


15-18",—,,—,
259,"Boston U.


15-17",1,,—,
260,"UT-Rio Grande Valley


15-17",1,,—,
261,"American


17-15",1,,—,
262,"Canisius


10-20",1,,—,
263,"Nicholls St.


16-15",—,,—,
264,"Fairfield


13-18",—,,—,
265,"Rhode Island


9-22",—,,—,
266,"ETSU


12-20",—,,—,
267,"Mt St Mary's


13-20",2,,—,
268,"New Hamp.


15-15",—,,—,
269,"Loyola Chi.


10-21",2,,—,
270,"Tenn. Tech


16-17",—,,—,
271,"Lafayette


11-23",1,,—,
272,"Oakland


13-19",1,,—,
273,"North Dakota


13-20",—,,—,
274,"Lehigh


16-14",—,,—,
275,"Maine


13-17",—,,—,
276,"Southern U.


15-17",—,,—,
277,"UC San Diego


10-20",—,,—,
278,"Prairie View


13-19",—,,—,
279,"Dartmouth


10-18",—,,—,
280,"Tennessee St.


18-14",—,,—,
281,"Illinois St.


11-21",—,,—,
282,"Marist


13-20",—,,—,
283,"Arkansas St.


13-20",—,,—,
284,"Bowling Green


11-20",—,,—,
285,"UIC


12-20",—,,—,
286,"Miami (Ohio)


12-20",—,,—,
287,"Denver


15-17",—,,—,
288,"UTSA


10-22",—,,—,
289,"Valparaiso


11-21",—,,—,
290,"High Point


14-17",—,,—,
291,"Georgia St.


10-21",—,,—,
292,"Morgan St.


15-16",1,,—,
293,"C. Carolina


11-20",1,,—,
294,"Texas So.


14-21",2,,—,
295,"Bucknell


12-20",1,,—,
296,"UL-Monroe


11-21",1,,—,
297,"Cal-Baker.


11-22",—,,—,
298,"South Dakota


12-19",—,,—,
299,"Chicago St.


11-20",—,,—,
300,"Binghamton


13-18",—,,—,
301,"FDU


20-15",—,,—,
302,"Manhattan


12-18",—,,—,
304,"Charleston So.


10-21",—,,—,
305,"Jackson St.


14-19",—,,—,
306,"St. Peter's


14-18",2,,—,
307,"Merrimack


18-16",—,,—,
308,"Cal Poly


8-25",2,,—,
309,"UMKC


11-21",—,,—,
310,"Idaho


10-22",—,,—,
311,"Wagner


15-13",—,,—,
312,"Northeastern


10-20",—,,—,
313,"California


3-29",—,,—,
315,"Louisville


4-28",—,,—,
316,"William & Mary


13-20",1,,—,
317,"Neb.-Omaha


9-23",1,,—,
318,"NC A&T


13-19",—,,—,
319,"Alabama A&M


15-18",—,,—,
320,"E. Michigan


8-23",—,,—,
321,"Loyola-Md.


13-20",—,,—,
322,"Little Rock


10-21",—,,—,
323,"W. Michigan


8-23",—,,—,
324,"Tulsa


5-25",—,,—,
325,"Austin Peay


9-22",—,,—,
326,"Sacred Heart


16-17",—,,—,
327,"Stony Brook


11-22",—,,—,
328,"Coppin St.


9-23",—,,—,
329,"C. Michigan


10-21",—,,—,
330,"Cent. Arkansas


9-22",—,,—,
331,"The Citadel


10-22",—,,—,
332,"Ark.-Pine Bluff


10-21",—,,—,
333,"CSNorthridge


7-25",—,,—,
334,"N.J. Tech


7-23",—,,—,
335,"Elon


8-24",—,,—,
336,"St. Fran.-Pa.


13-18",—,,—,
337,"Holy Cross


10-22",—,,—,
338,"Lindenwood


11-21",—,,—,
339,"McNeese St.


11-23",—,,—,
340,"New Orleans


12-20",—,,—,
341,"Columbia


7-22",—,,—,
342,"Albany


8-23",—,,—,
343,"CCSU


10-22",—,,—,
344,"E. Illinois


9-22",—,,—,
345,"Incarnate Word


12-19",—,,—,
346,"Alabama St.


8-23",—,,—,
347,"SC State


5-26",—,,—,
348,"Bethune-Cook.


12-20",—,,—,
349,"Hampton


8-24",—,,—,
350,"Evansville


5-27",—,,—,
351,"Monmouth


7-26",—,,—,
352,"Presbyterian


5-27",—,,—,
353,"St. Fran.-NY


14-16",—,,—,
354,"VMI


7-25",—,,—,
355,"Delaware St.


6-24",—,,—,
356,"Lamar


9-22",—,,—,
357,"Houston Chr.


10-22",—,,—,
358,"Miss Valley St.


5-27",—,,—,
359,"Florida A&M


7-22",—,,—,
360,"IUPUI


5-27",—,,—,
361,"Green Bay


3-29",—,,—,
362,"LIU


3-26",—,,—,
363,"Hartford


5-23",—,,—,
