,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk
,,Wright State,,Horizon,-0.001,21 - 13,15 - 7,12 - 3,9 - 10,0.42 @ Oakland,-0.61 @ Milwaukee,,,-0.099,286
,,Bryant,,NEC,-0.002,22 - 9,15 - 2,14 - 1,8 - 8,0.51 (H) Wagner,-0.76 (N) Bethune-Cookman,,,-0.149,349
,,Rice,,C-USA,-0.002,16 - 16,7 - 11,10 - 5,6 - 11,0.63 (H) UAB,-0.60 @ Texas-San Antonio,,,-0.027,179
,,Utah,,Pac-12,-0.003,11 - 20,4 - 16,7 - 9,4 - 11,0.47 @ Stanford,-0.65 @ Oregon State,,,0.097,66
,,Florida Gulf Coast,,ASUN,-0.003,21 - 11,10 - 6,15 - 3,6 - 8,0.42 @ Liberty,-0.46 @ Kennesaw State,,,-0.102,297
,,South Dakota,,Summit,-0.007,19 - 12,11 - 7,11 - 4,8 - 8,0.36 @ Oral Roberts,-0.51 @ San Jose State,,,-0.098,284
,,Southern Illinois,,MVC,-0.007,16 - 15,9 - 9,11 - 4,5 - 11,0.53 (N) Colorado,-0.55 (N) Northeastern,,,-0.016,165
,,Hawaii,,Big West,-0.007,17 - 11,10 - 5,10 - 4,7 - 7,0.49 @ Long Beach State,-0.60 (H) South Florida,,,-0.101,292
,,Colgate,,Patriot,-0.009,23 - 11,16 - 2,15 - 1,8 - 10,0.43 @ Syracuse,-0.48 @ Lehigh,,,-0.135,341
,,Boston College,,ACC,-0.009,13 - 20,6 - 14,9 - 7,4 - 13,0.57 (H) Notre Dame,-0.52 (H) Albany,,,0.053,105
,,Navy,,Patriot,-0.011,21 - 11,12 - 6,9 - 6,12 - 5,0.64 @ Furman,-0.84 (H) Holy Cross,,,-0.126,332
,,Louisiana,,Sun Belt,-0.012,16 - 15,8 - 9,7 - 6,9 - 9,0.49 (N) Texas State,-0.63 (H) Jackson State,,,-0.027,178
,,Purdue-Fort Wayne,,Horizon,-0.015,21 - 11,15 - 6,14 - 2,7 - 9,0.43 @ Oakland,-0.66 (N) Western Michigan,,,-0.135,339
,,Stony Brook,,America East,-0.015,18 - 13,10 - 8,13 - 4,5 - 9,0.51 @ Yale,-0.57 (H) Binghamton,,,-0.095,281
,,Georgia Tech,,ACC,-0.017,12 - 20,5 - 15,9 - 9,3 - 11,0.40 (H) Florida State,-0.53 (H) Miami (OH),,,0.062,95
,,Nicholls State,,Southland,-0.018,21 - 11,11 - 3,11 - 1,10 - 10,0.57 @ Northern Iowa,-0.68 @ Oregon State,,,-0.131,337
,,UMKC,,Summit,-0.019,19 - 12,12 - 6,11 - 3,8 - 9,0.53 @ North Dakota State,-0.65 (H) Denver,,,-0.113,312
,,Cornell,,Ivy,-0.02,15 - 11,7 - 7,10 - 2,5 - 9,0.49 (H) Princeton,-0.47 @ Dartmouth,,,-0.089,274
,,Siena,,MAAC,-0.02,15 - 14,12 - 8,8 - 5,7 - 9,0.68 (H) Iona,-0.61 @ Bucknell,,,-0.027,177
,,UC-Santa Barbara,,Big West,-0.021,17 - 11,8 - 6,11 - 3,6 - 8,0.41 (H) Long Beach State,-0.57 @ Pacific,,,-0.104,302
,,Gardner-Webb,,Big South,-0.021,18 - 13,11 - 5,11 - 3,7 - 10,0.24 @ Campbell,-0.43 (H) USC-Upstate,,,-0.082,262
,,Old Dominion,,C-USA,-0.021,13 - 19,8 - 10,10 - 4,3 - 15,0.64 (H) UAB,-0.63 (N) Indiana State,,,0.013,131
,,San Diego,,WCC,-0.023,15 - 16,7 - 9,8 - 6,7 - 10,0.33 @ Nevada,-0.77 (H) Cal State-Northridge,,,-0.002,144
,,Northern Kentucky,,Horizon,-0.023,20 - 12,14 - 6,12 - 4,8 - 8,0.42 @ Oakland,-0.75 (H) Milwaukee,,,-0.115,318
,,Saint Joseph's,,Atlantic 10,-0.025,11 - 19,5 - 13,9 - 7,2 - 12,0.75 @ Richmond,-0.50 (H) LaSalle,,,0.051,106
,,Air Force,,Mountain West,-0.03,11 - 18,4 - 13,7 - 6,4 - 12,0.43 (H) UNLV,-0.34 @ Tarleton State,,,0.05,107
,,Tulsa,,AAC,-0.03,11 - 20,4 - 14,8 - 8,3 - 12,0.41 (H) UCF,-0.42 (H) Air Force,,,0.057,102
,,California Baptist,,WAC,-0.032,18 - 15,7 - 11,14 - 5,4 - 10,0.40 (H) Utah Valley,-0.60 @ Chicago State,,,-0.09,275
,,Northern Colorado,,Big Sky,-0.032,20 - 15,13 - 7,9 - 4,11 - 11,0.54 (H) Montana State,-0.89 (N) Hawaii Hilo,,,-0.066,228
,,Niagara,,MAAC,-0.034,14 - 16,9 - 11,7 - 4,7 - 12,0.69 (H) Iona,-0.62 (N) St. Thomas (MN),,,-0.023,173
,,Eastern Washington,,Big Sky,-0.035,18 - 15,11 - 9,9 - 3,9 - 12,0.56 @ Washington State,-0.58 @ Idaho,,,-0.088,273
,,Tarleton State,,WAC,-0.036,14 - 17,9 - 9,10 - 5,4 - 12,0.45 (H) Stephen F. Austin,-0.88 (H) Charleston Southern,,,-0.014,163
,,Texas-Arlington,,Sun Belt,-0.037,11 - 18,7 - 10,8 - 4,3 - 14,0.49 (H) Texas State,-0.50 @ Arkansas-Little Rock,,,0.011,133
,,Utah Tech,,WAC,-0.038,13 - 18,6 - 12,10 - 6,3 - 12,0.51 (H) Grand Canyon,-0.64 @ Cal State-Northridge,,,-0.029,180
,,George Washington,,Atlantic 10,-0.038,12 - 18,8 - 9,8 - 5,4 - 13,0.31 (N) Wright State,-0.49 (H) UMass Lowell,,,0.015,127
,,Georgetown,,Big East,-0.038,6 - 25,0 - 19,6 - 11,0 - 14,0.47 (H) Longwood,-0.58 (H) Dartmouth,,,0.155,15
,,Valparaiso,,MVC,-0.041,14 - 18,6 - 12,8 - 8,6 - 10,0.46 (H) Northern Iowa,-0.48 (H) Illinois-Chicago,,,-0.033,189
,,Penn,,Ivy,-0.045,12 - 16,9 - 5,6 - 3,6 - 13,0.42 (H) Yale,-0.92 (H) Columbia,,,0.014,129
,,Elon,,CAA,-0.046,10 - 22,7 - 11,7 - 7,3 - 15,0.63 @ Hofstra,-0.70 @ William & Mary,,,0.04,111
,,Texas Southern,,SWAC,-0.047,18 - 12,13 - 5,7 - 2,11 - 10,0.61 @ Florida,-0.51 @ Jackson State,,,-0.111,309
,,The Citadel,,SoCon,-0.048,13 - 18,6 - 12,7 - 8,6 - 10,0.38 (H) Samford,-0.60 (H) South Carolina State,,,-0.012,159
,,Marshall,,C-USA,-0.048,12 - 21,4 - 14,8 - 9,4 - 12,0.63 (H) UAB,-0.46 (H) Florida International,,,-0.007,152
,,Manhattan,,MAAC,-0.049,15 - 15,8 - 12,8 - 5,7 - 10,0.67 (H) Iona,-0.47 (H) Quinnipiac,,,-0.06,221
,,Georgia,,SEC,-0.051,6 - 26,1 - 17,6 - 13,0 - 13,0.67 (H) Alabama,-0.45 (H) Georgia Tech,,,0.134,37
,,UMBC,,America East,-0.051,18 - 14,11 - 7,11 - 4,7 - 10,0.26 (H) Stony Brook,-0.54 (H) Albany,,,-0.103,298
,,Brown,,Ivy,-0.053,13 - 16,5 - 9,6 - 7,7 - 9,0.31 (N) Bradley,-0.48 @ Dartmouth,,,-0.056,216
,,Detroit,,Horizon,-0.053,14 - 15,10 - 7,9 - 1,5 - 14,0.34 @ Northern Kentucky,-0.76 @ Green Bay,,,-0.052,210
,,Marist,,MAAC,-0.054,14 - 16,9 - 11,7 - 6,7 - 10,0.57 @ Monmouth,-0.61 @ American,,,-0.044,200
,,Southeastern Louisiana,,Southland,-0.054,19 - 14,10 - 4,10 - 1,9 - 13,0.43 @ Troy,-0.69 @ Incarnate Word,,,-0.116,319
,,Long Island,,NEC,-0.054,16 - 14,12 - 6,12 - 1,4 - 13,0.37 (H) Bryant,-0.67 @ Central Connecticut,,,-0.112,310
,,Louisiana-Monroe,,Sun Belt,-0.054,13 - 18,5 - 13,7 - 7,6 - 11,0.59 @ Stephen F. Austin,-0.46 (H) Georgia Southern,,,-0.032,185
,,Western Carolina,,SoCon,-0.057,11 - 21,5 - 13,8 - 5,3 - 16,0.69 (H) Chattanooga,-0.53 @ Georgia,,,0.014,130
,,TAMU-Corpus Christi,,Southland,-0.059,23 - 11,7 - 7,9 - 4,14 - 7,0.28 (N) Nicholls State,-0.70 (H) Houston Christian,,,-0.184,358
,,LaSalle,,Atlantic 10,-0.06,11 - 19,5 - 13,8 - 8,3 - 11,0.56 (H) Dayton,-0.75 (H) Sacred Heart,,,0.017,125
,,Rider,,MAAC,-0.06,14 - 19,8 - 12,7 - 6,7 - 13,0.67 (N) Iona,-0.63 @ Bucknell,,,-0.039,197
,,Georgia Southern,,Sun Belt,-0.062,13 - 16,5 - 11,7 - 5,6 - 11,0.29 (H) South Alabama,-0.52 @ Arkansas-Little Rock,,,-0.05,209
,,San Jose State,,Mountain West,-0.063,8 - 23,1 - 17,7 - 9,1 - 14,0.36 (H) Cal State-Fullerton,-0.57 @ Pepperdine,,,0.075,87
,,Fairfield,,MAAC,-0.064,15 - 18,8 - 12,6 - 9,9 - 9,0.25 (H) Stony Brook,-0.51 (H) Loyola (MD),,,-0.05,207
,,Boston U.,,Patriot,-0.066,21 - 12,11 - 7,11 - 4,10 - 8,0.32 (H) Colgate,-0.83 (H) Holy Cross,,,-0.151,350
,,Illinois State,,MVC,-0.069,13 - 20,5 - 13,11 - 6,2 - 14,0.51 (H) Missouri State,-0.65 @ Evansville,,,-0.022,170
,,USC-Upstate,,Big South,-0.069,14 - 16,10 - 6,6 - 7,8 - 9,0.31 @ Gardner-Webb,-0.58 (H) Radford,,,-0.066,227
,,Quinnipiac,,MAAC,-0.07,14 - 17,7 - 13,8 - 7,6 - 10,0.24 (N) Siena,-0.53 (H) Canisius,,,-0.065,225
,,Montana,,Big Sky,-0.071,18 - 14,11 - 9,14 - 3,4 - 11,0.56 (H) Montana State,-0.75 @ Idaho State,,,-0.122,325
,,South Florida,,AAC,-0.073,8 - 23,3 - 15,6 - 10,2 - 13,0.46 (H) UCF,-0.56 (H) South Carolina State,,,0.064,91
,,Western Illinois,,Summit,-0.074,16 - 15,7 - 11,9 - 6,7 - 9,0.50 @ North Dakota State,-0.66 @ Nebraska-Omaha,,,-0.1,290
,,Campbell,,Big South,-0.075,16 - 13,8 - 8,9 - 4,7 - 9,0.19 @ USC-Upstate,-0.57 @ Hampton,,,-0.114,314
,,Harvard,,Ivy,-0.075,13 - 13,5 - 9,9 - 6,4 - 7,0.32 (H) Colgate,-0.61 (H) Dartmouth,,,-0.114,313
,,UNC-Asheville,,Big South,-0.076,16 - 14,8 - 8,9 - 6,7 - 8,0.23 @ Campbell,-0.80 (N) Charleston Southern,,,-0.104,301
,,Ball State,,MAC,-0.076,14 - 17,9 - 10,9 - 5,5 - 12,0.61 (H) Toledo,-0.66 (H) Central Michigan,,,-0.065,226
,,Canisius,,MAAC,-0.079,11 - 21,7 - 13,10 - 5,1 - 16,0.41 (H) St. Peter's,-0.41 (N) Fairfield,,,-0.008,154
,,Florida International,,C-USA,-0.082,15 - 17,5 - 13,11 - 5,4 - 12,0.33 (H) Florida Gulf Coast,-0.59 @ Texas-San Antonio,,,-0.079,253
,,Northeastern,,CAA,-0.084,9 - 22,2 - 16,6 - 8,3 - 14,0.60 (H) Towson,-0.68 @ William & Mary,,,0.019,121
,,Kennesaw State,,ASUN,-0.088,13 - 18,7 - 9,10 - 6,3 - 12,0.39 @ Bellarmine,-0.76 (H) North Alabama,,,-0.071,239
,,Lipscomb,,ASUN,-0.088,14 - 19,6 - 10,9 - 6,5 - 13,0.74 @ Dayton,-0.67 (H) Stetson,,,-0.067,229
,,New Orleans,,Southland,-0.09,18 - 13,10 - 4,12 - 2,6 - 11,0.29 @ TAMU-Corpus Christi,-0.69 @ Incarnate Word,,,-0.143,345
,,Youngstown State,,Horizon,-0.09,18 - 14,12 - 9,12 - 7,6 - 7,0.33 (H) Oakland,-0.76 (H) Robert Morris,,,-0.152,352
,,Bowling Green,,MAC,-0.091,13 - 18,6 - 14,9 - 7,4 - 11,0.50 (H) Ohio,-0.75 (H) Western Michigan,,,-0.067,231
,,Illinois-Chicago,,Horizon,-0.092,14 - 16,9 - 10,6 - 6,8 - 10,0.38 @ Cleveland State,-0.40 (H) Youngstown State,,,-0.103,299
,,SE Missouri State,,OVC,-0.092,14 - 18,8 - 9,8 - 5,6 - 13,0.63 @ Missouri State,-0.63 @ Tennessee-Martin,,,-0.087,269
,,Miami (OH),,MAC,-0.092,14 - 18,8 - 12,9 - 8,5 - 10,0.47 @ Buffalo,-0.70 (H) Central Michigan,,,-0.087,271
,,Indiana State,,MVC,-0.092,11 - 20,4 - 14,8 - 6,3 - 14,0.52 (H) Missouri State,-0.80 (H) Evansville,,,-0.022,171
,,Alcorn State,,SWAC,-0.092,17 - 16,14 - 4,6 - 3,11 - 13,0.27 @ Texas Southern,-0.80 (H) Bethune-Cookman,,,-0.076,244
,,High Point,,Big South,-0.094,14 - 18,7 - 9,10 - 6,4 - 12,0.44 (H) Winthrop,-0.75 @ Charleston Southern,,,-0.079,250
,,North Florida,,ASUN,-0.096,11 - 20,7 - 9,7 - 5,4 - 15,0.47 @ Jacksonville State,-0.66 (H) Stetson,,,-0.007,151
,,New Hampshire,,America East,-0.097,15 - 13,10 - 8,10 - 4,5 - 9,0.32 @ Stony Brook,-0.75 @ Maine,,,-0.125,329
,,Southern U.,,SWAC,-0.097,17 - 14,11 - 6,9 - 2,8 - 12,0.57 @ Kent State,-0.80 (H) Bethune-Cookman,,,-0.121,324
,,Central Arkansas,,ASUN,-0.1,11 - 20,7 - 9,8 - 4,3 - 16,0.47 @ Jacksonville State,-0.54 (N) Presbyterian,,,-0.023,172
,,Oregon State,,Pac-12,-0.1,3 - 28,1 - 19,3 - 13,0 - 15,0.28 (H) Nicholls State,-0.42 (H) UC-Davis,,,0.139,28
,,Arkansas-Little Rock,,Sun Belt,-0.103,9 - 19,3 - 11,6 - 7,3 - 12,0.43 @ Troy,-0.47 (H) Louisiana-Monroe,,,-0.022,168
,,UC-Davis,,Big West,-0.104,13 - 11,5 - 6,7 - 5,6 - 6,0.52 @ Utah State,-1.05 (H) Academy of Art,,,-0.123,328
,,Dartmouth,,Ivy,-0.104,9 - 16,6 - 8,5 - 5,4 - 11,0.44 @ Bryant,-0.56 @ Cal State-Bakersfield,,,-0.038,195
,,UMass Lowell,,America East,-0.104,15 - 16,7 - 11,8 - 6,7 - 10,0.68 @ Dayton,-0.61 (H) NJIT,,,-0.13,335
,,North Carolina Central,,MEAC,-0.104,16 - 15,8 - 5,9 - 2,7 - 13,0.39 (H) Norfolk State,-0.62 (H) MD-Eastern Shore,,,-0.135,340
,,Pepperdine,,WCC,-0.108,7 - 25,1 - 15,7 - 9,0 - 16,0.13 (H) UC-Davis,-0.58 @ Pacific,,,0.048,108
,,Northern Illinois,,MAC,-0.113,9 - 21,6 - 14,3 - 8,6 - 13,0.57 @ Akron,-0.67 (H) Central Michigan,,,0.001,142
,,Austin Peay,,OVC,-0.114,12 - 17,8 - 10,6 - 5,6 - 12,0.69 @ Dayton,-0.71 (H) Tennessee-Martin,,,-0.067,230
,,Presbyterian,,Big South,-0.115,12 - 20,4 - 12,7 - 7,5 - 13,0.25 (N) VMI,-0.58 @ Hampton,,,-0.069,235
,,UC-San Diego,,Big West,-0.116,13 - 16,2 - 0,9 - 4,4 - 12,0.37 (H) Cal State-Fullerton,-0.78 (H) Cal Poly,,,-0.084,267
,,Portland State,,Big Sky,-0.118,14 - 17,10 - 10,7 - 7,7 - 10,0.37 (N) Southern Utah,-0.77 (H) Cal Poly,,,-0.105,303
,,Howard,,MEAC,-0.12,16 - 13,9 - 5,8 - 4,8 - 9,0.39 @ Bradley,-0.64 (H) Coppin State,,,-0.159,355
,,Duquesne,,Atlantic 10,-0.123,6 - 24,1 - 16,3 - 11,3 - 13,0.37 (N) UC-Irvine,-0.56 (N) Northeastern,,,0.047,109
,,Radford,,Big South,-0.124,11 - 18,7 - 9,8 - 4,3 - 14,0.19 @ USC-Upstate,-0.60 (H) North Carolina A&T,,,-0.07,236
,,Mount St. Mary's,,NEC,-0.124,14 - 16,9 - 7,8 - 5,6 - 11,0.13 @ Merrimack,-0.78 (H) St. Francis (NY),,,-0.114,316
,,Merrimack,,NEC,-0.127,14 - 16,9 - 8,7 - 7,7 - 9,0.55 @ Wagner,-0.83 (H) St. Francis (PA),,,-0.119,320
,,Morgan State,,MEAC,-0.128,13 - 14,7 - 6,8 - 3,5 - 11,0.40 (H) Norfolk State,-0.64 (H) Coppin State,,,-0.162,357
,,Tennessee Tech,,OVC,-0.129,11 - 21,7 - 10,7 - 7,4 - 14,0.11 @ Austin Peay,-0.66 @ Evansville,,,-0.047,202
,,Texas-Rio Grande Valley,,WAC,-0.131,8 - 23,3 - 15,4 - 10,4 - 13,0.38 (N) Cal State-Fullerton,-0.71 (H) Northern Arizona,,,-0.014,164
,,North Carolina A&T,,Big South,-0.131,12 - 20,6 - 10,7 - 4,5 - 16,0.47 (H) Longwood,-0.59 @ Hampton,,,-0.082,259
,,Pacific,,WCC,-0.132,8 - 22,3 - 11,7 - 7,1 - 15,0.57 (H) BYU,-0.56 @ Pepperdine,,,-0.01,156
,,Eastern Michigan,,MAC,-0.134,10 - 21,5 - 15,8 - 7,2 - 14,0.17 (H) Niagara,-0.76 (H) Western Michigan,,,-0.033,190
,,Army,,Patriot,-0.138,15 - 16,9 - 9,10 - 4,5 - 12,0.39 @ Navy,-0.83 (H) Holy Cross,,,-0.143,346
,,Albany,,America East,-0.139,13 - 18,9 - 9,4 - 8,9 - 10,0.28 @ UMBC,-0.91 (H) Maine,,,-0.083,264
,,Binghamton,,America East,-0.139,12 - 17,8 - 10,5 - 8,7 - 9,0.34 @ Stony Brook,-0.76 @ Columbia,,,-0.111,307
,,Loyola (MD),,Patriot,-0.141,14 - 16,8 - 10,10 - 3,4 - 13,0.33 @ Boston U.,-0.69 @ Holy Cross,,,-0.14,343
,,Cal State-Bakersfield,,Big West,-0.141,8 - 19,2 - 12,5 - 7,3 - 12,0.89 @ Boise State,-0.78 (H) Cal State-Northridge,,,-0.056,215
,,Central Michigan,,MAC,-0.141,7 - 23,6 - 12,2 - 9,5 - 14,0.57 @ Kent State,-0.63 (H) Eastern Michigan,,,0.017,124
,,Eastern Kentucky,,ASUN,-0.144,13 - 18,5 - 11,12 - 5,1 - 13,0.32 (H) Bellarmine,-0.59 @ North Alabama,,,-0.121,323
,,MD-Eastern Shore,,MEAC,-0.146,11 - 15,6 - 8,6 - 4,5 - 11,0.28 @ Fordham,-0.58 (H) South Carolina State,,,-0.126,331
,,Southern Miss,,C-USA,-0.148,7 - 26,1 - 17,3 - 11,4 - 15,0.48 (N) UNC-Wilmington,-0.70 (H) Texas-San Antonio,,,-0.007,153
,,Denver,,Summit,-0.149,11 - 21,7 - 11,6 - 7,5 - 14,0.31 @ UMKC,-0.97 (H) Non D-I,,,-0.078,249
,,Evansville,,MVC,-0.15,6 - 24,2 - 16,4 - 9,2 - 15,0.10 @ Indiana State,-0.56 (H) Indiana State,,,-0.005,147
,,Florida A&M,,SWAC,-0.151,13 - 17,11 - 7,8 - 4,5 - 13,0.16 (H) Alcorn State,-0.69 @ Bethune-Cookman,,,-0.132,338
,,Stetson,,ASUN,-0.152,11 - 19,5 - 11,7 - 8,4 - 11,0.37 (H) Jacksonville State,-0.59 (H) Kennesaw State,,,-0.101,293
,,Sacramento State,,Big Sky,-0.153,11 - 18,6 - 14,5 - 8,6 - 10,0.34 @ Northern Colorado,-0.71 (H) Northern Arizona,,,-0.1,288
,,McNeese State,,Southland,-0.153,11 - 22,4 - 10,6 - 5,5 - 17,0.18 (N) New Orleans,-0.81 (H) Incarnate Word,,,-0.09,276
,,Hartford,,America East,-0.154,12 - 20,9 - 9,7 - 5,5 - 15,0.63 (H) Vermont,-0.81 (H) St. Francis (PA),,,-0.1,289
,,Coppin State,,MEAC,-0.156,9 - 23,6 - 8,3 - 6,6 - 17,0.17 @ Howard,-0.59 (H) MD-Eastern Shore,,,-0.03,183
,,Jackson State,,SWAC,-0.159,11 - 19,9 - 9,6 - 2,5 - 17,0.28 @ Louisiana,-0.69 @ Bethune-Cookman,,,-0.073,240
,,South Carolina State,,MEAC,-0.159,15 - 16,7 - 7,8 - 5,7 - 11,0.18 @ The Citadel,-0.66 (H) Coppin State,,,-0.156,354
,,Texas-San Antonio,,C-USA,-0.16,10 - 22,3 - 15,8 - 10,2 - 12,0.30 (N) Sam Houston State,-0.98 (H) Tex. A&M-Commerce,,,-0.068,234
,,Tennessee State,,OVC,-0.162,14 - 18,8 - 10,8 - 5,6 - 13,0.13 @ Lipscomb,-0.80 @ Eastern Illinois,,,-0.131,336
,,St. Thomas (MN),,Summit,-0.162,10 - 20,4 - 14,5 - 8,5 - 12,0.20 (N) Niagara,-0.88 (H) North Dakota,,,-0.093,278
,,Chicago State,,WAC,-0.162,7 - 25,3 - 15,5 - 9,2 - 16,0.67 (H) New Mexico State,-0.62 (H) Northern Illinois,,,-0.003,146
,,NJIT,,America East,-0.173,11 - 18,6 - 12,6 - 8,5 - 10,0.25 (H) Stony Brook,-0.74 @ Maine,,,-0.112,311
,,SIU-Edwardsville,,OVC,-0.173,11 - 21,5 - 13,8 - 5,3 - 16,0.39 (H) Morehead State,-0.63 (N) St. Thomas (MN),,,-0.08,255
,,North Alabama,,ASUN,-0.173,9 - 21,2 - 14,6 - 7,3 - 14,0.12 @ Kennesaw State,-0.66 (H) Stetson,,,-0.079,254
,,Prairie View,,SWAC,-0.174,8 - 19,8 - 8,5 - 4,3 - 15,0.21 @ Alcorn State,-0.98 (H) Mississippi Valley State,,,-0.04,198
,,Lehigh,,Patriot,-0.174,13 - 19,10 - 8,9 - 7,4 - 12,0.41 @ Navy,-0.80 (H) St. Francis (PA),,,-0.136,342
,,Grambling,,SWAC,-0.179,12 - 20,8 - 9,6 - 4,6 - 16,0.22 @ Alcorn State,-0.83 (H) Bethune-Cookman,,,-0.1,291
,,Western Michigan,,MAC,-0.18,8 - 23,4 - 16,4 - 10,4 - 13,0.46 (H) Akron,-1.04 (H) Saginaw Valley,,,-0.036,194
,,Idaho,,Big Sky,-0.181,9 - 22,6 - 14,8 - 7,1 - 15,0.72 (H) South Dakota State,-0.84 (H) Idaho State,,,-0.083,266
,,Northwestern State,,Southland,-0.184,9 - 23,5 - 9,6 - 6,3 - 17,0.22 (H) TAMU-Corpus Christi,-0.70 (H) Houston Christian,,,-0.059,220
,,Northern Arizona,,Big Sky,-0.185,9 - 23,5 - 15,5 - 10,4 - 13,0.23 @ Montana,-0.83 (H) Idaho State,,,-0.067,232
,,Houston Christian,,Southland,-0.185,11 - 18,6 - 8,7 - 6,4 - 12,0.28 @ TAMU-Corpus Christi,-0.78 (N) Incarnate Word,,,-0.146,348
,,Milwaukee,,Horizon,-0.185,10 - 22,8 - 14,6 - 10,4 - 12,0.34 @ Northern Kentucky,-0.69 @ Robert Morris,,,-0.11,306
,,Cal State-Northridge,,Big West,-0.187,7 - 23,3 - 14,4 - 11,3 - 12,0.24 @ San Diego,-0.97 (H) Non D-I,,,-0.045,201
,,Hampton,,Big South,-0.188,9 - 19,5 - 11,7 - 4,2 - 15,0.38 (H) Norfolk State,-0.58 (H) Radford,,,-0.104,300
,,Tennessee-Martin,,OVC,-0.192,8 - 22,4 - 14,5 - 8,3 - 14,0.17 (H) UNC-Asheville,-0.94 (H) Eastern Illinois,,,-0.055,212
,,Alabama A&M,,SWAC,-0.195,12 - 18,10 - 8,7 - 3,5 - 15,0.09 @ Florida A&M,-0.63 @ North Alabama,,,-0.144,347
,,William & Mary,,CAA,-0.202,5 - 27,4 - 14,4 - 10,1 - 17,0.46 (H) Hofstra,-0.78 (H) American,,,-0.002,145
,,Robert Morris,,Horizon,-0.203,8 - 24,5 - 16,4 - 10,4 - 14,0.27 (H) Northern Kentucky,-1.05 (H) IUPUI,,,-0.07,237
,,Lafayette,,Patriot,-0.203,10 - 20,7 - 11,6 - 9,4 - 11,0.54 @ Rutgers,-0.77 (H) Sacred Heart,,,-0.126,330
,,Cal Poly,,Big West,-0.203,7 - 21,2 - 12,4 - 7,3 - 14,0.33 (H) UC-Irvine,-0.76 (H) Cal State-Northridge,,,-0.063,223
,,Nebraska-Omaha,,Summit,-0.205,5 - 25,4 - 14,5 - 9,0 - 16,0.22 (H) UMKC,-0.74 @ North Dakota,,,-0.018,167
,,St. Francis (NY),,NEC,-0.224,10 - 20,7 - 11,3 - 9,7 - 11,0.53 @ St. Peter's,-0.84 (H) Central Connecticut,,,-0.129,333
,,Idaho State,,Big Sky,-0.225,7 - 23,5 - 15,5 - 8,2 - 15,0.25 (H) Northern Colorado,-0.71 (H) Northern Arizona,,,-0.083,265
,,American,,Patriot,-0.227,10 - 22,5 - 13,6 - 5,4 - 17,0.16 (H) Marist,-0.72 (H) Lafayette,,,-0.122,327
,,Bucknell,,Patriot,-0.228,9 - 23,5 - 13,7 - 6,2 - 17,0.25 (H) Boston U.,-0.83 (H) Holy Cross,,,-0.101,294
,,Alabama State,,SWAC,-0.23,10 - 21,8 - 10,6 - 6,4 - 15,0.16 (H) Southern U.,-1.04 (H) Mississippi Valley State,,,-0.095,283
,,Sacred Heart,,NEC,-0.236,10 - 20,6 - 10,6 - 7,4 - 13,0.18 (H) Long Island,-0.78 @ Fairleigh Dickinson,,,-0.142,344
,,St. Francis (PA),,NEC,-0.239,9 - 21,5 - 13,4 - 8,5 - 13,0.14 @ Merrimack,-0.93 (H) Fairleigh Dickinson,,,-0.121,322
,,Arkansas-Pine Bluff,,SWAC,-0.252,7 - 24,5 - 13,5 - 7,2 - 17,0.04 @ Alabama State,-0.71 (H) Alabama A&M,,,-0.081,258
,,Central Connecticut,,NEC,-0.252,8 - 24,4 - 13,4 - 7,4 - 17,0.18 (H) Long Island,-0.84 @ Fairleigh Dickinson,,,-0.093,279
,,Green Bay,,Horizon,-0.254,5 - 25,4 - 16,4 - 9,1 - 16,0.17 (H) Detroit,-0.78 (H) Milwaukee,,,-0.08,256
,,Bethune-Cookman,,SWAC,-0.26,9 - 21,7 - 11,4 - 6,5 - 15,0.38 (N) Bryant,-0.76 (H) Alabama State,,,-0.122,326
,,Incarnate Word,,Southland,-0.26,7 - 25,3 - 11,5 - 10,2 - 15,0.19 (H) Southeastern Louisiana,-0.98 (H) Concordia (TX),,,-0.083,263
,,North Dakota,,Summit,-0.261,6 - 25,2 - 16,4 - 11,2 - 14,0.35 (N) Troy,-0.78 (H) Milwaukee,,,-0.085,268
,,Charleston Southern,,Big South,-0.265,6 - 25,1 - 15,4 - 9,2 - 16,0.20 @ Tarleton State,-0.71 (H) Hampton,,,-0.095,282
,,Maine,,America East,-0.271,6 - 23,3 - 15,5 - 9,1 - 14,0.16 (H) New Hampshire,-0.83 (H) Central Connecticut,,,-0.111,308
,,Holy Cross,,Patriot,-0.274,9 - 22,7 - 11,5 - 9,4 - 13,0.40 @ Navy,-0.76 (H) American,,,-0.156,353
,,Columbia,,Ivy,-0.289,4 - 22,1 - 13,3 - 10,1 - 12,0.22 @ Penn,-0.78 (H) Sacred Heart,,,-0.091,277
,,Lamar,,WAC,-0.303,2 - 27,0 - 16,2 - 9,0 - 18,0.00 (H) Non D-I,-0.77 (H) Chicago State,,,-0.024,174
,,Fairleigh Dickinson,,NEC,-0.304,4 - 22,4 - 11,3 - 6,1 - 16,0.45 (H) Wagner,-0.80 (H) St. Francis (PA),,,-0.077,247
,,Eastern Illinois,,OVC,-0.307,5 - 26,3 - 15,4 - 9,1 - 17,0.06 (H) Tennessee State,-0.83 (H) Evansville,,,-0.077,246
