,,,,,,,
RK,TEAM,Q1A,Q1,Q2,Q1&2,Q3,Q4
159,Brown,0-0,0-1,1-3,1-4,5-5,11-2
160,Illinois St.,0-1,0-2,1-2,1-4,7-10,8-2
161,James Madison,0-0,0-0,1-4,1-4,3-7,8-8
162,Hofstra,0-2,0-2,1-2,1-4,6-1,19-2
163,Cleveland St.,0-0,0-2,1-2,1-4,1-11,6-6
164,Delaware,0-1,0-1,1-4,1-5,4-6,10-5
165,Charlotte,0-0,0-1,1-4,1-5,4-9,3-7
166,Hawaii,0-0,0-1,1-4,1-5,4-3,11-5
167,Northern Iowa,0-1,0-2,1-3,1-5,6-12,7-1
168,Yale 14,0-1,0-3,1-2,1-5,9-1,11-1
169,Missouri St.,0-0,0-2,1-3,1-5,7-6,7-5
170,Wright St.,0-1,0-3,1-2,1-5,3-7,15-1
171,Louisiana Tech,0-1,0-1,1-4,1-5,9-7,8-1
172,Louisiana Lafayette,0-2,0-2,1-3,1-5,5-5,11-3
173,Louisiana Monroe,0-4,0-4,1-2,1-6,4-5,12-4
174,Green Bay,0-1,0-4,1-2,1-6,3-7,11-3
175,Cornell,0-0,0-2,1-4,1-6,5-6,7-3
176,Southern Illinois,0-3,0-3,1-3,1-6,7-5,9-4
177,Drexel,0-0,0-0,1-6,1-6,1-7,10-6
178,UNLV,0-2,0-4,1-2,1-6,5-6,11-2
179,Cal Baptist,0-2,0-2,1-4,1-6,3-3,8-5
180,Richmond,0-1,0-3,1-3,1-6,3-8,9-6
181,Central Michigan,0-2,0-4,1-3,1-7,8-4,11-0
182,Florida Gulf Coast,0-2,0-5,1-2,1-7,2-7,9-4
183,Utah Valley,0-3,0-3,1-5,1-8,7-1,14-0
184,Pacific,0-4,0-4,1-5,1-9,1-8,10-1
185,UT Rio Grande Valley,0-3,0-5,1-4,1-9,5-3,11-4
186,Grand Canyon,0-3,0-4,1-5,1-9,7-3,11-1
187,UTSA,0-0,0-0,1-9,1-9,5-4,8-1
188,Air Force,0-3,0-5,1-4,1-9,3-4,9-5
189,New Mexico,0-3,1-6,0-4,1-10,3-6,9-2
190,George Mason,0-3,1-4,0-6,1-10,5-3,12-2
191,Santa Clara,0-3,0-5,1-5,1-10,5-3,9-2
192,The Citadel,0-4,0-7,1-3,1-10,3-2,5-6
193,Saint Joseph's,0-2,0-5,1-5,1-10,6-8,7-1
194,Middle Tennessee,0-1,0-4,1-6,1-10,2-10,6-1
195,La Salle,0-2,0-5,1-5,1-10,2-7,7-4
196,Long Beach St.,0-1,1-2,0-8,1-10,2-4,10-5
197,Samford,0-3,1-6,0-5,1-11,2-1,13-4
198,East Carolina,0-3,1-4,0-9,1-13,0-4,9-4
199,Notre Dame,1-9,1-10,0-7,1-17,6-1,7-1
200,Longwood,0-0,0-0,0-0,0-0,3-10,9-7
RK,TEAM,Q1-A,Q1,Q2,Q1&2,Q3,Q4
201,Houston Baptist,0-0,0-0,0-0,0-0,0-0,0-0
202,Abilene Christian 15,0-1,0-1,0-0,0-1,2-2,21-3
203,Quinnipiac,0-1,0-1,0-0,0-1,2-4,14-9
204,Bryant,0-0,0-1,0-0,0-1,0-6,10-13
205,St. Francis NY,0-0,0-1,0-0,0-1,1-4,14-10
206,Hampton,0-1,0-1,0-0,0-1,2-9,10-6
207,LIU Brooklyn,0-0,0-0,0-1,0-1,1-2,14-13
208,South Dakota St.,0-1,0-2,0-0,0-2,6-4,17-2
209,Campbell,0-0,0-0,0-2,0-2,4-6,13-4
210,High Point,0-1,0-2,0-0,0-2,3-8,11-5
211,American,0-0,0-0,0-2,0-2,6-4,9-9
212,Fairfield,0-1,0-1,0-1,0-2,1-4,8-16
213,Wagner,0-0,0-2,0-0,0-2,1-3,10-12
214,Northern Kentucky 14,0-2,0-2,0-0,0-2,7-4,17-2
215,Manhattan,0-0,0-0,0-2,0-2,1-4,10-15
216,Sacramento St.,0-0,0-1,0-1,0-2,0-5,12-9
217,IUPUI,0-0,0-1,0-1,0-2,4-8,10-6
218,Howard,0-0,0-0,0-2,0-2,2-4,12-10
219,Sacred Heart,0-0,0-2,0-0,0-2,0-5,14-10
220,Marist,0-1,0-1,0-1,0-2,0-6,12-11
