RK,TEAM,Q1A,Q1,Q2,Q1&2,Q3,Q4
188,Brown,0-1,0-1,1-6,1-7,3-5,7-4
189,Rice,0-1,0-4,1-3,1-7,2-5,11-4
190,Rhode Island,0-1,0-4,1-4,1-8,5-6,8-2
191,La Salle,0-1,0-3,1-5,1-8,3-7,7-4
192,Duquesne,0-0,0-3,1-6,1-9,2-8,3-7
193,Central Michigan,0-3,0-4,1-5,1-9,0-7,6-7
194,Indiana St.,0-2,0-5,1-4,1-9,1-8,6-3
195,Portland,1-1,1-5,0-4,1-9,1-3,14-2
196,Sam Houston St.,0-1,0-3,1-6,1-9,5-3,10-2
197,Marshall,0-1,0-2,1-8,1-10,1-6,8-5
198,Valparaiso,0-1,0-3,1-7,1-10,3-6,8-2
199,San Diego,0-3,0-8,1-2,1-10,1-5,11-1
200,Saint Joseph's,0-1,0-5,1-5,1-10,3-6,7-3
RK,TEAM,Q1-A,Q1,Q2,Q1&2,Q3,Q4
201,Illinois St.,0-2,0-5,1-5,1-10,1-7,9-3
202,Southern Illinois,0-2,0-4,1-6,1-10,4-3,10-2
203,Air Force,0-3,0-7,1-4,1-11,2-5,8-2
204,East Carolina,0-2,0-4,1-7,1-11,2-4,12-0
205,Loyola Marymount,0-3,1-6,0-5,1-11,3-5,6-2
206,Tulsa,0-3,0-5,1-7,1-12,4-5,6-3
207,South Florida,0-3,0-5,1-8,1-13,3-6,4-4
208,North Carolina St.,1-3,1-7,0-7,1-14,6-6,4-1
209,Houston Baptist,0-0,0-0,0-0,0-0,0-0,0-0
210,Dixie St.,0-0,0-0,0-0,0-0,0-0,0-0
211,Holy Cross,0-0,0-0,0-1,0-1,2-7,5-14
212,Sacred Heart,0-1,0-1,0-0,0-1,1-5,8-14
213,Wright St. 16,0-1,0-1,0-0,0-1,5-5,15-7
214,South Carolina St.,0-1,0-1,0-0,0-1,1-6,11-9
215,Fort Wayne,0-0,0-0,0-1,0-1,2-6,17-4
216,UC Santa Barbara,0-1,0-2,0-0,0-2,4-6,11-3
217,UC San Diego,0-1,0-1,0-1,0-2,3-8,8-6
218,Milwaukee,0-0,0-2,0-0,0-2,1-7,8-13
219,Boston University,0-0,0-0,0-2,0-2,4-3,16-7
220,IUPUI,0-1,0-1,0-1,0-2,0-5,1-19
